Key,Scenario,avg_daily_load,max_daily_load,avg_daily_concentration,max_daily_concentration
H2O_sew,Dry weather flow only,56354087050.25911,77061035213.47046,,
H2O_sew,Constant dry weather flow only,57283198928.83301,57283198928.83301,,
H2O_sew,Dry and wet weather flow,56843748132.8845,77915928440.094,,
NH4_sew,Dry weather flow only,2506334.1476948564,3681103.597371702,4.4003666643456304e-05,4.914800118692234e-05
NH4_sew,Constant dry weather flow only,2554516.9325356144,2655226.0551423393,4.45945230068117e-05,4.635261481191222e-05
NH4_sew,Dry and wet weather flow,2527891.22117964,3719679.579030448,4.4003666594387977e-05,4.914800133344888e-05
PO4_sew,Dry weather flow only,404431.19201439724,593996.262303161,7.100591662921357e-06,7.930700191526103e-06
PO4_sew,Constant dry weather flow only,412206.14138642856,428456.9316252411,7.195934394280974e-06,7.479626481013109e-06
PO4_sew,Dry and wet weather flow,407909.71978126006,600221.0229799133,7.100591655003513e-06,7.930700215170159e-06
COD_sol,Dry weather flow only,9000018.075813346,13218508.372380203,0.00015801316658332036,0.0001764860042621302
COD_sol,Constant dry weather flow only,9173038.075923335,9534675.379829306,0.00016013487806991456,0.00016644802591550296
COD_sol,Dry and wet weather flow,9077427.566963252,13357031.215609336,0.00015801316640712048,0.00017648600478829365
X_TSS_sew,Dry weather flow only,14765979.160175562,23052194.391951114,0.0002558393748541985,0.0002980950078457369
X_TSS_sew,Constant dry weather flow only,14774295.628215548,15932365.067318687,0.0002579167348277931,0.000278133298510661
X_TSS_sew,Dry and wet weather flow,14890399.781261021,23309431.03763125,0.00025583937455999354,0.00029809500798014916
COD_part,Dry weather flow only,22616549.067150798,36741931.684928454,0.000389784083104493,0.00047774601171446065
COD_part,Constant dry weather flow only,22461336.092726428,24715388.872755967,0.0003921103659143014,0.000431459648464494
COD_part,Dry and wet weather flow,22805546.082325056,37176864.11875465,0.0003897840826507481,0.00047774601219465395
