,Key,Scenario,avg_daily_load,max_daily_load,avg_daily_concentration,max_daily_concentration
0,.WWTP2river.Outflow(rBOD1),Dry weather flow only,19176.293295941174,29144.34905882353,1.8897278654743988e-07,2.0926655867247275e-07
1,.WWTP2river.Outflow(rBOD1),Constant dry weather flow only,19689.44844294118,26029.284470588238,1.932986219959752e-07,2.0308522553099203e-07
2,.WWTP2river.Outflow(rBOD1),Dry and wet weather flow,175994.92759135296,432399.72676470585,4.4785474450601143e-07,8.642780661504742e-07
3,.WWTP2river.Outflow(rBOD1p),Dry weather flow only,2130.699256882353,3238.261011764706,2.099697630224658e-08,2.3251839807944108e-08
4,.WWTP2river.Outflow(rBOD1p),Constant dry weather flow only,2187.7164941764704,2892.1427294117643,2.1477624671545073e-08,2.256502512372617e-08
5,.WWTP2river.Outflow(rBOD1p),Dry and wet weather flow,19554.991937,48044.4141117647,4.976163824960641e-08,9.603089640763164e-08
6,.WWTP2river.Outflow(rBOD2),Dry weather flow only,54991.22144235294,88241.02517647058,5.306951251608696e-07,6.147091618090414e-07
7,.WWTP2river.Outflow(rBOD2),Constant dry weather flow only,59599.06651470588,73489.25541176471,5.855484922708473e-07,5.941746339672807e-07
8,.WWTP2river.Outflow(rBOD2),Dry and wet weather flow,226638.64474764705,452728.3359411764,8.352005596737799e-07,1.14227214913995e-06
9,.WWTP2river.Outflow(rBOD2p),Dry weather flow only,23567.666307647054,37817.58223529412,2.274407676502881e-07,2.6344678310439233e-07
10,.WWTP2river.Outflow(rBOD2p),Constant dry weather flow only,25542.457058823526,31495.395294117647,2.509493536378824e-07,2.5464627190046224e-07
11,.WWTP2river.Outflow(rBOD2p),Dry and wet weather flow,97130.84780941175,194026.42923529414,3.579430974313164e-07,4.895452092117763e-07
12,.WWTP2river.Outflow(rBODs),Dry weather flow only,0.0,0.0,0.0,0.0
13,.WWTP2river.Outflow(rBODs),Constant dry weather flow only,0.0,0.0,0.0,0.0
14,.WWTP2river.Outflow(rBODs),Dry and wet weather flow,0.0,0.0,0.0,0.0
15,.WWTP2river.Outflow(rH2O),Dry weather flow only,100525761566.47058,146833042647.05884,,
16,.WWTP2river.Outflow(rH2O),Constant dry weather flow only,101833802779.41176,130161295941.17647,,
17,.WWTP2river.Outflow(rH2O),Dry and wet weather flow,205716225315.29413,344790381764.7059,,
18,.WWTP2river.Outflow(rNH4),Dry weather flow only,141511.06102529416,242644.68941176473,1.3590333419322302e-06,1.7165538016167118e-06
19,.WWTP2river.Outflow(rNH4),Constant dry weather flow only,142332.95044117645,184814.93294117646,1.3976660202015373e-06,1.4336419641914374e-06
20,.WWTP2river.Outflow(rNH4),Dry and wet weather flow,703543.3441447058,2159416.389411765,2.410513905461772e-06,5.633135949097003e-06
21,.WWTP2river.Outflow(rO2),Dry weather flow only,484160.46821176476,618529.9941176471,4.990528739086072e-06,6.132633180685262e-06
22,.WWTP2river.Outflow(rO2),Constant dry weather flow only,492050.5311470588,595382.1970588235,4.836758209655362e-06,5.101887454488669e-06
23,.WWTP2river.Outflow(rO2),Dry and wet weather flow,725482.2696235294,1107555.4211764706,4.097894702369939e-06,5.249107497414428e-06
