Key,Scenario,avg_daily_load,max_daily_load,avg_daily_concentration,max_daily_concentration
H2O_sew,Dry weather flow only,44795319581.32982,63497905883.78906,,
H2O_sew,Constant dry weather flow only,45083518409.72901,45083518409.72901,,
H2O_sew,Dry and wet weather flow,46672438096.40407,71279603977.20337,,
NH4_sew,Dry weather flow only,2506334.1476948564,3681103.597371702,5.553986631125547e-05,6.689632815428736e-05
NH4_sew,Constant dry weather flow only,1996113.870301867,2055493.365574535,4.427591147968403e-05,4.559301132830308e-05
NH4_sew,Dry and wet weather flow,2527891.22117964,3719679.579030448,5.450206360598707e-05,6.685869342112373e-05
PO4_sew,Dry weather flow only,404431.19201439724,593996.262303161,8.962114791134404e-06,1.0794634770350915e-05
PO4_sew,Constant dry weather flow only,322100.19270780124,331681.8839904363,7.144522079676287e-06,7.357054100703449e-06
PO4_sew,Dry and wet weather flow,407909.71978126006,600221.0229799133,8.794651172784276e-06,1.0788561892954056e-05
COD_sol,Dry weather flow only,9000018.075813346,13218508.372380203,0.00019943861084496277,0.00024021863291766822
COD_sol,Constant dry weather flow only,9352726.30209455,9635055.719331698,0.00020745333620803284,0.00021371570053087193
COD_sol,Dry and wet weather flow,9077427.566963252,13357031.215609336,0.00019571195567604448,0.000240083490012217
X_TSS_sew,Dry weather flow only,14765979.160175562,23052194.391951114,0.00032160409845519427,0.00040417938159723835
X_TSS_sew,Constant dry weather flow only,9301072.78303016,9615694.1140767,0.00020630760666237157,0.00021328623970044082
X_TSS_sew,Dry and wet weather flow,14890399.781261021,23309431.03763125,0.00031592734415390787,0.0004012966759389004
COD_part,Dry weather flow only,22616549.067150798,36741931.684928454,0.0004891725176120415,0.0006440739159547046
COD_part,Constant dry weather flow only,16901040.716015205,17848243.134467833,0.00037488291313944925,0.00039589286204903194
COD_part,Dry and wet weather flow,22805546.082325056,37176864.11875465,0.0004807442400417348,0.0006358653493845475
