Key,Scenario,avg_daily_load,max_daily_load,avg_daily_concentration,max_daily_concentration
.WWTP2river.Outflow(rBOD1),Dry weather flow only,18145.907296,25285.860125,1.7967532449103107e-07,1.9279629213958778e-07
.WWTP2river.Outflow(rBOD1),Constant dry weather flow only,20347.16036375,21347.180625,1.9960976030889812e-07,2.0372523428758167e-07
.WWTP2river.Outflow(rBOD1),Dry and wet weather flow,18104.640598375,24891.59475,1.7670735516399123e-07,1.8558864826242555e-07
.WWTP2river.Outflow(rBOD1p),Dry weather flow only,2016.2119280000002,2809.540025,1.9963925010411886e-08,2.1421810225383973e-08
.WWTP2river.Outflow(rBOD1p),Constant dry weather flow only,2260.7955915000002,2371.9089625,2.2178862213549574e-08,2.2636136748572377e-08
.WWTP2river.Outflow(rBOD1p),Dry and wet weather flow,2011.626734375,2765.73275,1.963415059016275e-08,2.0620960792802686e-08
.WWTP2river.Outflow(rBOD2),Dry weather flow only,51297.48098375,78450.40625,4.966248608012506e-07,5.700305929585705e-07
.WWTP2river.Outflow(rBOD2),Constant dry weather flow only,57726.814622499995,60338.259375,5.664615188482181e-07,5.813067572579719e-07
.WWTP2river.Outflow(rBOD2),Dry and wet weather flow,55139.800875,83643.4265,5.266867922322376e-07,6.053010319709474e-07
.WWTP2river.Outflow(rBOD2p),Dry weather flow only,21984.634746875,33621.602625,2.1283922648274725e-07,2.442988245512463e-07
.WWTP2river.Outflow(rBOD2p),Constant dry weather flow only,24740.063358749998,25859.253875000002,2.4276922188082716e-07,2.4913146620384513e-07
.WWTP2river.Outflow(rBOD2p),Dry and wet weather flow,23631.343228749996,35847.182875,2.2572291089393084e-07,2.594147281317808e-07
.WWTP2river.Outflow(rBODs),Dry weather flow only,0.0,0.0,0.0,0.0
.WWTP2river.Outflow(rBODs),Constant dry weather flow only,0.0,0.0,0.0,0.0
.WWTP2river.Outflow(rBODs),Dry and wet weather flow,0.0,0.0,0.0,0.0
.WWTP2river.Outflow(rH2O),Dry weather flow only,100385175182.5,137119871250.0,,
.WWTP2river.Outflow(rH2O),Constant dry weather flow only,101923997292.5,106362642500.0,,
.WWTP2river.Outflow(rH2O),Dry and wet weather flow,101930437661.25,137955544000.0,,
.WWTP2river.Outflow(rNH4),Dry weather flow only,127539.83242125,215087.59749999997,1.2172340206422269e-06,1.58850059870367e-06
.WWTP2river.Outflow(rNH4),Constant dry weather flow only,140001.990575,146197.925,1.373577892317849e-06,1.3913903223856308e-06
.WWTP2river.Outflow(rNH4),Dry and wet weather flow,133816.18694500002,217265.27,1.269075511533382e-06,1.5986276887129179e-06
.WWTP2river.Outflow(rO2),Dry weather flow only,452336.626175,548053.70875,4.6648885353583776e-06,5.769152058409291e-06
.WWTP2river.Outflow(rO2),Constant dry weather flow only,462229.8813125,500088.48375,4.536719882518102e-06,4.865141510963735e-06
.WWTP2river.Outflow(rO2),Dry and wet weather flow,457154.09554999997,549342.415,4.631972045321576e-06,5.6117279623404534e-06
