,COD,CODs,TSS,NH4,PO4,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,H2O_sew
2024-07-01 00:05:00,,,,,,-13336768.530436913,-7603573.35573712,-7418655.1533915,-1624064.2119050156,-262064.90692103666,36545.099277790636
2024-07-01 00:10:00,,,,,,-19970594.607333552,-11385657.680719621,-11108759.536605226,-2431888.0483090454,-392418.29870441416,54722.95338229176
2024-07-01 00:15:00,,,,,,-22036870.404265508,-12563685.143616706,-12258137.480314292,-2683505.564655996,-433020.2161149447,60384.91369612951
2024-07-01 00:20:00,,,,,,-19714972.901594214,-11239922.348620849,-10966568.474334482,-2400760.1132976566,-387395.3819184855,54022.50479967725
2024-07-01 00:25:00,,,,,,-16009825.425846959,-9127539.535544798,-8905558.616339488,-1949571.5512814133,-314589.95486586436,43869.74687851965
2024-07-01 00:30:00,,,,,,-12588330.277867647,-7176872.904075034,-7002332.017337458,-1532924.3096082595,-247358.2408686055,34494.24639082493
2024-07-01 00:35:00,,,,,,-11609162.060478613,-6618628.42742144,-6457663.994840682,-1413687.6252744824,-228117.77589656418,31811.15268394425
2024-07-01 00:40:00,,,,,,-11204861.759407023,-6388128.288656289,-6232769.598179498,-1364454.5859265854,-220173.3536381536,30703.2985131995
2024-07-01 00:45:00,,,,,,-11139323.33994784,-6350763.45182646,-6196313.470733304,-1356473.7469920593,-218885.5364464459,30523.711678489184
2024-07-01 00:50:00,,,,,,-11237626.930740217,-6406808.404696142,-6250995.4155210825,-1368444.5136244188,-220817.18288030388,30793.08086463588
2024-07-01 00:55:00,,,,,,-11386981.636104926,-6491958.675968628,-6334074.840053982,-1386631.9502068914,-223751.97378338472,31202.339113566417
2024-07-01 01:00:00,,,,,,-11548933.418687794,-6546327.535872367,-6410711.996118173,-1398244.7163999234,-225625.85196453307,31658.63497685831
2024-07-01 01:05:00,,,,,,-11852601.118626896,-6686342.291544037,-6567897.927163524,-1428150.780718144,-230451.6032522459,32501.657827989293
2024-07-01 01:10:00,,,,,,-12660229.18589636,-7115403.975418938,-7006027.106015717,-1519795.0238758894,-245239.65157997303,34725.05100542828
