ES_threshold,RZ_threshold,certainty_threshold,ES_flow,ES_FD,ES_flow_sum,ES_FD_sum,ES_flow_always,ES_flow_always_sum,ES_cso,RZ_flow,RZ_FD,RZ_flow_sum,RZ_FD_sum,RZ_cso,RZ_flow_always,RZ_flow_always_sum
0.5,,0.725,0.054,1.265,395.273,7.589,1.142,9868.188,30.161,,,,,,,
0.5,,0.75,0.033,1.507,234.914,12.054,1.142,9864.895,30.049,,,,,,,
0.5,,0.775,0.03,1.556,209.93,14.006,1.143,9870.819,34.918,,,,,,,
0.5,,0.8,0.036,1.558,255.636,14.023,1.151,9939.745,34.918,,,,,,,
0.5,,0.825,0.033,1.413,232.853,11.303,1.152,9951.158,34.76,,,,,,,
0.5,,0.85,0.037,2.686,260.923,24.174,1.147,9906.186,36.159,,,,,,,
0.5,,0.875,0.04,2.684,280.597,24.16,1.149,9922.598,36.16,,,,,,,
0.5,,0.9,0.053,2.95,375.535,32.449,1.16,10018.744,37.716,,,,,,,
0.5,,0.925,0.06,2.691,429.313,26.912,1.162,10034.499,37.712,,,,,,,
0.75,,0.725,0.046,0.305,334.591,1.523,1.147,9910.398,29.498,,,,,,,
0.75,,0.75,0.051,0.287,369.661,1.437,1.151,9946.546,29.786,,,,,,,
0.75,,0.775,0.051,0.266,373.772,1.328,1.149,9930.419,30.418,,,,,,,
0.75,,0.8,0.054,1.264,399.674,7.582,1.143,9872.707,30.26,,,,,,,
0.75,,0.825,0.03,1.564,210.571,14.076,1.142,9864.969,34.76,,,,,,,
0.75,,0.85,0.028,1.553,199.054,13.973,1.144,9881.215,34.868,,,,,,,
0.75,,0.875,0.033,2.689,234.533,24.198,1.144,9885.234,34.866,,,,,,,
0.75,,0.9,0.04,2.688,277.426,24.194,1.149,9923.488,36.167,,,,,,,
0.75,,0.925,0.043,2.82,300.653,31.015,1.15,9935.604,36.162,,,,,,,
1.0,,0.725,0.046,0.305,334.398,1.523,1.147,9910.159,29.461,,,,,,,
1.0,,0.75,0.046,0.305,334.399,1.523,1.147,9910.735,29.346,,,,,,,
1.0,,0.775,0.046,0.308,334.874,1.539,1.147,9911.202,29.915,,,,,,,
1.0,,0.8,0.051,0.267,368.924,1.334,1.149,9925.493,30.427,,,,,,,
1.0,,0.825,0.051,0.268,372.437,1.339,1.15,9936.704,30.137,,,,,,,
1.0,,0.85,0.047,0.993,338.777,6.95,1.149,9927.268,34.875,,,,,,,
1.0,,0.875,0.032,1.563,224.607,14.069,1.143,9878.368,34.872,,,,,,,
1.0,,0.9,0.032,2.689,224.625,26.885,1.139,9839.972,34.868,,,,,,,
1.0,,0.925,0.037,2.693,261.69,24.241,1.148,9913.748,36.157,,,,,,,
1.25,,0.725,0.046,0.458,332.548,2.749,1.151,9940.417,29.461,,,,,,,
1.25,,0.75,0.046,0.305,334.399,1.523,1.147,9910.735,29.346,,,,,,,
1.25,,0.775,0.046,0.305,334.398,1.523,1.147,9910.17,29.459,,,,,,,
1.25,,0.8,0.048,0.3,346.198,1.5,1.149,9922.502,29.907,,,,,,,
1.25,,0.825,0.051,0.281,368.263,1.403,1.149,9925.567,30.27,,,,,,,
1.25,,0.85,0.053,0.265,382.739,1.327,1.151,9939.303,30.139,,,,,,,
1.25,,0.875,0.047,0.993,337.601,6.95,1.149,9926.086,34.875,,,,,,,
1.25,,0.9,0.028,1.564,195.273,14.075,1.143,9874.551,34.868,,,,,,,
1.25,,0.925,0.039,2.708,278.428,27.079,1.149,9923.254,34.872,,,,,,,
1.5,,0.725,0.046,0.458,332.399,2.746,1.151,9947.682,29.461,,,,,,,
1.5,,0.75,0.046,0.458,332.548,2.749,1.151,9940.994,29.346,,,,,,,
1.5,,0.775,0.046,0.43,334.329,2.578,1.147,9910.103,29.459,,,,,,,
1.5,,0.8,0.046,0.43,334.329,2.578,1.147,9910.093,29.461,,,,,,,
1.5,,0.825,0.048,0.278,348.205,1.392,1.147,9904.86,29.742,,,,,,,
1.5,,0.85,0.051,0.281,368.924,1.403,1.149,9925.76,30.387,,,,,,,
1.5,,0.875,0.053,0.273,387.218,1.366,1.151,9944.05,30.381,,,,,,,
1.5,,0.9,0.046,0.527,328.95,3.163,1.148,9916.535,33.842,,,,,,,
1.5,,0.925,0.028,1.553,196.715,13.975,1.143,9877.675,34.868,,,,,,,
1.75,,0.725,0.046,0.458,332.399,2.746,1.151,9947.682,29.461,,,,,,,
1.75,,0.75,0.046,0.458,332.4,2.746,1.152,9948.259,29.346,,,,,,,
1.75,,0.775,0.046,0.458,332.548,2.749,1.151,9940.428,29.459,,,,,,,
1.75,,0.8,0.046,0.43,334.329,2.578,1.147,9910.093,29.461,,,,,,,
1.75,,0.825,0.046,0.424,337.61,2.543,1.148,9914.137,29.325,,,,,,,
1.75,,0.85,0.047,0.278,340.205,1.391,1.146,9896.393,29.859,,,,,,,
1.75,,0.875,0.05,0.26,367.33,1.302,1.149,9924.171,30.391,,,,,,,
1.75,,0.9,0.046,0.532,332.317,3.19,1.148,9919.251,33.312,,,,,,,
1.75,,0.925,0.051,1.361,372.386,9.528,1.143,9877.619,34.868,,,,,,,
2.0,,0.725,0.046,0.458,332.399,2.746,1.151,9947.682,29.461,,,,,,,
2.0,,0.75,0.046,0.458,332.4,2.746,1.152,9948.259,29.346,,,,,,,
2.0,,0.775,0.046,0.458,332.399,2.746,1.151,9947.693,29.459,,,,,,,
2.0,,0.8,0.046,0.43,334.329,2.578,1.147,9910.093,29.461,,,,,,,
2.0,,0.825,0.046,0.43,334.334,2.578,1.147,9910.825,29.296,,,,,,,
2.0,,0.85,0.046,0.424,337.606,2.541,1.148,9913.62,29.406,,,,,,,
2.0,,0.875,0.047,0.278,340.205,1.391,1.146,9896.393,29.859,,,,,,,
2.0,,0.9,0.048,0.543,342.888,3.259,1.149,9929.794,33.319,,,,,,,
2.0,,0.925,0.047,0.535,340.755,3.208,1.149,9928.307,33.842,,,,,,,
2.25,,0.725,0.046,0.413,332.399,2.888,1.151,9947.682,29.461,,,,,,,
2.25,,0.75,0.046,0.413,332.4,2.888,1.152,9948.259,29.346,,,,,,,
2.25,,0.775,0.046,0.458,332.399,2.746,1.151,9947.693,29.459,,,,,,,
2.25,,0.8,0.046,0.458,332.548,2.749,1.151,9940.419,29.461,,,,,,,
2.25,,0.825,0.046,0.43,334.334,2.578,1.147,9910.825,29.296,,,,,,,
2.25,,0.85,0.046,0.43,334.33,2.578,1.147,9910.353,29.414,,,,,,,
2.25,,0.875,0.046,0.275,337.225,1.373,1.145,9892.86,29.404,,,,,,,
2.25,,0.9,0.051,0.285,372.362,1.427,1.149,9928.556,29.861,,,,,,,
2.25,,0.925,0.048,0.527,342.509,3.164,1.149,9930.015,33.849,,,,,,,
2.5,,0.725,0.046,0.447,332.377,2.681,1.152,9949.345,29.461,,,,,,,
2.5,,0.75,0.046,0.413,332.4,2.888,1.152,9948.259,29.346,,,,,,,
2.5,,0.775,0.046,0.413,332.399,2.888,1.151,9947.693,29.459,,,,,,,
2.5,,0.8,0.046,0.413,332.399,2.888,1.151,9947.684,29.461,,,,,,,
2.5,,0.825,0.046,0.458,332.553,2.749,1.151,9941.151,29.296,,,,,,,
2.5,,0.85,0.046,0.43,334.33,2.578,1.147,9910.353,29.414,,,,,,,
2.5,,0.875,0.046,0.412,336.335,2.469,1.145,9891.982,29.414,,,,,,,
2.5,,0.9,0.047,0.275,339.398,1.373,1.145,9895.033,29.405,,,,,,,
2.5,,0.925,0.048,0.543,342.888,3.259,1.149,9929.794,33.319,,,,,,,
