;scenario;group;pollutant;metric;value
0;Dry weather flow only;FD;;;
1;Dry weather flow only;DWF_var;;;
2;Dry weather flow only;CSO;;;0.0
3;Dry weather flow only;5_perc_steps;;;13.0944099378882
4;Dry weather flow only;15_perc_steps;;;4.363719158801126
5;Dry weather flow only;pollutants;NH4_sew;avg_daily_load;29547.271373451807
6;Dry weather flow only;pollutants;NH4_sew;avg_max_daily_load;44525.208614977666
7;Dry weather flow only;pollutants;NH4_sew;avg_concentration;44.03664934993911
8;Dry weather flow only;pollutants;NH4_sew;avg_max_daily_concentration;49.684131750514055
9;Dry weather flow only;pollutants;PO4_sew;avg_daily_load;4767.85515344336
10;Dry weather flow only;pollutants;PO4_sew;avg_max_daily_load;7184.749571962301
11;Dry weather flow only;pollutants;PO4_sew;avg_concentration;7.1059138723765365
12;Dry weather flow only;pollutants;PO4_sew;avg_max_daily_concentration;8.017212168832948
13;Dry weather flow only;pollutants;COD_sol;avg_daily_load;106101.56538648605
14;Dry weather flow only;pollutants;COD_sol;avg_max_daily_load;159885.97639014703
15;Dry weather flow only;pollutants;COD_sol;avg_concentration;158.13160448387225
16;Dry weather flow only;pollutants;COD_sol;avg_max_daily_concentration;178.41120037684593
17;Dry weather flow only;pollutants;X_TSS_sew;avg_daily_load;173651.75918544715
18;Dry weather flow only;pollutants;X_TSS_sew;avg_max_daily_load;278816.8006168635
19;Dry weather flow only;pollutants;X_TSS_sew;avg_concentration;254.8940911391937
20;Dry weather flow only;pollutants;X_TSS_sew;avg_max_daily_concentration;300.7475633625372
21;Dry weather flow only;pollutants;COD_part;avg_daily_load;265717.4954576478
22;Dry weather flow only;pollutants;COD_part;avg_max_daily_load;444717.76332451584
23;Dry weather flow only;pollutants;COD_part;avg_concentration;387.64162595534253
24;Dry weather flow only;pollutants;COD_part;avg_max_daily_concentration;482.82794827531444
25;Dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_daily_load;1466.002886217421
26;Dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_max_daily_load;2345.1831364721747
27;Dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_concentration;1.2131349437112728
28;Dry weather flow only;pollutants_effluent;.effluent.y_BOD;avg_max_daily_concentration;1.3996606836956524
29;Dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_daily_load;39936.0874588919
30;Dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_max_daily_load;58759.28695008058
31;Dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_concentration;33.883816513633136
32;Dry weather flow only;pollutants_effluent;.effluent.y_COD;avg_max_daily_concentration;34.64555972826087
33;Dry weather flow only;pollutants_effluent;.effluent.y_DO;avg_daily_load;5530.573908000585
