location,rain_threshold,certainty_threshold,OF_1_outflow,OF_1_FD,OF_1_outflow_2,OF_2_cso,OF_3_margin_025,OF_3_margin_05,OF_3_margin_10,OF_3_margin_15,OF_4_COD_part,OF_4_COD_sol,OF_4_X_TSS_sew,OF_4_NH4_sew,OF_4_PO4_sew
ES,0.5,0.725,0.08,1.265,0.058,30.114,5970,6072,6447,7161,14472519835278.682,2024636497438.044,6279867544471.613,157013950450.251,4088364277.994
ES,0.5,0.75,0.059,1.507,0.054,30.116,5959,6060,6412,7161,14757228934086.318,2071823834844.9,6431768669330.206,160673407477.156,4183650036.634
ES,0.5,0.775,0.057,1.556,0.055,34.875,5846,5953,6342,7194,16151846948733.566,2333666167919.386,7119215431941.077,180979718838.806,4712390303.029
ES,0.5,0.825,0.05,1.413,0.062,34.875,5668,5778,6222,7150,23802591036827.883,3345917354345.7,10654145585812.602,259481493270.842,6756437022.615
ES,0.5,0.85,0.086,2.686,0.215,36.159,5698,5749,6223,7133,24175135957918.39,3405716672431.64,10909821249957.635,264119030517.051,6877190252.254
ES,0.5,0.875,0.087,2.684,0.217,36.16,5629,5683,6182,7121,26054007054908.24,3649893431853.619,11828122698495.889,283055347062.512,7370258287.924
ES,0.5,0.8,0.056,1.558,0.061,34.872,5692,5801,6233,7155,21766255551091.008,3219142015923.482,9616133368313.105,249649853502.154,6500438592.481
ES,0.5,0.925,0.097,2.543,0.236,37.712,5430,5489,5979,7061,48077377305440.59,5530237062262.036,23851286777357.574,428879144069.038,11167250853.574
ES,0.5,0.9,0.111,2.95,0.233,37.716,5485,5548,6039,7116,37262766971077.07,4806910276649.78,17534618216951.986,372783940698.364,9706631431.098
ES,0.75,0.725,0.044,0.305,0.017,29.451,5918,6154,6529,7232,11356562821417.967,1418417253201.244,4601248785353.418,110000632999.423,2864221027.635
ES,0.75,0.75,0.047,0.287,0.02,29.854,5989,6092,6458,7223,13656509470889.547,1840887299071.75,5896227428388.371,142763892445.237,3717318087.895
ES,0.75,0.775,0.047,0.266,0.019,30.373,5952,6064,6427,7235,13547867627234.52,1848054937270.45,5854151963438.658,143319754789.121,3731791755.64
ES,0.75,0.825,0.057,1.564,0.055,34.875,5835,5942,6331,7183,16035715701925.217,2305861457718.366,7049189982527.842,178823417006.2,4656244034.753
ES,0.75,0.85,0.051,1.553,0.056,34.868,5824,5929,6323,7182,17001856917940.39,2481355066052.428,7521702936395.342,192433240180.96,5010619647.48
ES,0.75,0.875,0.084,2.689,0.213,34.866,5755,5804,6254,7150,20928393660347.414,3090080086728.998,9366294153030.387,239640884790.392,6239822831.758
ES,0.75,0.8,0.076,1.264,0.059,30.213,5913,6013,6404,7141,16022688647087.871,2260131543401.336,6998407491849.465,175276985580.235,4563901261.932
ES,0.75,0.925,0.092,2.82,0.225,36.162,5647,5714,6177,7135,27207470112258.145,3841242137407.302,12387569942066.246,297894759574.61,7756650222.188
ES,0.75,0.9,0.087,2.688,0.216,36.167,5672,5726,6203,7121,25704770934997.79,3604571679565.993,11644789516673.22,279540569285.361,7278739719.873
ES,1.25,0.725,0.044,0.458,0.017,29.414,5923,6165,6551,7230,11450847704104.883,1409618895058.57,4616618608614.9,109318305593.391,2846454434.382
