,COD,CODs,TSS,NH4,PO4,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,H2O_sew
2024-07-01 00:05:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:10:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:15:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:20:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:25:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:30:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:35:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:40:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:45:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:50:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 00:55:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:00:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:05:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:10:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:15:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:20:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:25:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:30:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:35:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:40:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:45:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:50:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 01:55:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2024-07-01 02:00:00,,,,,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
