,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
0,-45771067060.89966,-16703693.213204721,-9523128.212690784,-9291526.61336263,-2034066.2201863807,-328224.3218937114,0.11778290298048802
1,-67259392328.91267,-24545642.63651339,-13993989.16795357,-13653656.642769272,-2989007.395096879,-482317.10239063273,0.14329334472100483
2,-72619901924.0438,-26501907.008160543,-15109296.79431655,-14741840.09058089,-3227228.441504506,-520757.316697318,0.15683192929590953
3,-84636090765.36005,-30887094.963910494,-17609385.04464081,-17181126.42536809,-3761227.8736126004,-606925.4068783969,0.16720839127422946
4,-121558807085.40523,-44361671.05774778,-25291525.40218941,-24676437.83833726,-5402073.386875408,-871698.2056094408,0.17553004086168972
5,-140783665842.86804,-51377591.01269626,-29291449.515267126,-28579084.166102212,-6256426.110057055,-1009559.6677592066,0.1836082765446006
6,-143102335827.6051,-52223766.43692621,-29773871.992291518,-29049774.173003834,-6359467.804178771,-1026186.8502197561,0.19138971932424684
7,-141375184874.8823,-51593459.96823954,-29414520.96506801,-28699162.529601105,-6282713.215839768,-1013801.4507377808,0.1988019060718807
8,-132302941630.61417,-48282635.51867633,-27526950.035665583,-26857497.151014674,-5879542.726064493,-948744.3944331341,0.20589945879719224
9,-122061848032.54759,-26762498.86819958,-15257865.716330368,-14886795.83012143,-3258961.609313282,-525877.8960482796,0.2126537001602903
10,-123420143928.00659,-26861638.169017345,-15314387.125132209,-14941942.643477067,-3271034.1432321225,-527825.964021547,0.21966894698755715
11,-107377597538.87349,-24924575.686538275,-13549629.137857523,-13630477.450876696,-2894095.5440084026,-467001.78096499236,0.2262856442099148
12,-110205424893.24367,-25130317.09353283,-13661475.365377573,-13742991.045652378,-2917985.029498122,-470856.6752144698,0.23311768867825647
13,-103819779825.3296,-24665723.10097168,-13408910.331651436,-13488918.999690214,-2864039.0999643845,-462151.76385788934,0.24008596193192383
14,-99784258059.89229,-24372114.679405518,-13249297.374784855,-13328353.659686992,-2829947.0120899696,-456650.54058724514,0.2466827114873095
15,-105165479171.63582,-24763630.802611534,-13462135.43219654,-13542461.685281048,-2875407.5680419793,-463986.221206774,0.25274285808788266
16,-100453687019.68907,-24420819.652804494,-13275774.62900274,-13354988.899139388,-2835602.3479423327,-457563.1061452401,0.25746457918377597
17,-101409424167.06067,-24490355.264698666,-13313575.94465558,-13393015.76875901,-2843676.415363328,-458865.9670245371,0.2608399596587464
18,-102862148909.5362,-24596049.706062216,-13371034.113669973,-13450816.780812625,-2855949.033987761,-460846.3213934797,0.2633183102558124
19,-104137129819.0651,-24688812.217115894,-13421462.15860366,-13501545.721240962,-2866720.072711461,-462584.37536934955,0.26505235026623913
20,-105524563094.64618,-24789756.312514074,-13476337.919519445,-13556748.91640978,-2878441.1090235705,-464475.7244106216,0.26636300539226393
21,-106700566642.30724,-24875317.6266277,-13522851.211836534,-13603539.745564118,-2888375.9869942106,-466078.8524467932,0.2674047018415935
22,-107493501028.43716,-24933008.360824965,-13554213.352676744,-13635089.018919457,-2895074.6966882367,-467159.7806019655,0.2682351453247173
23,-108047387664.73503,-23463403.515843626,-12746755.293479856,-12828380.86962071,-2722607.926762688,-439329.9154548882,0.26897672727511984
24,-108529410307.72534,-23497765.946017116,-12765423.066397585,-12847168.184153901,-2726595.218065504,-439973.3192787517,0.26965356300813387
25,-109003919510.57524,-23531592.758069884,-12783799.858805558,-12865662.654844182,-2730520.3581914785,-440606.69416271587,0.2702778093034227
26,-109437299477.1038,-23562487.54912377,-12800583.798149273,-12882554.072419595,-2734105.2772746026,-441185.16974203807,0.27087266148803324
27,-109668014852.77025,-23578934.78682428,-12809518.943218086,-12891546.434901573,-2736013.7548621157,-441493.1286254777,0.27140095269972037
28,-109815370781.29832,-23589439.496257186,-12815225.74361812,-12897289.779571883,-2737232.6831028997,-441689.8193188769,0.2718599970411453
29,-109940675229.01317,-23598372.19972588,-12820078.53426922,-12902173.645726016,-2738269.201494396,-441857.07569568674,0.2721809674931374
30,-109977883378.34444,-23601024.694275413,-12821519.53147652,-12903623.87055435,-2738576.987305665,-441906.7411334141,0.2722645483559771
31,-109843707185.95612,-23591459.541872434,-12816323.155897707,-12898394.219279826,-2737467.081842229,-441727.6427518142,0.2720421280188877
32,-109246040279.06595,-23548853.06341405,-12793176.711927664,-12875099.553916872,-2732523.1811884334,-440929.87696449715,0.27142366682067676
33,-108120199510.29149,-23468594.126689654,-12749575.150634568,-12831218.784113122,-2723210.226349131,-439427.10470633704,0.27034488429175524
34,-106648146231.86653,-23363654.392577298,-12692565.471267726,-12773844.035533227,-2711033.4016299997,-437462.20799029537,0.26876762407307103
35,-104941914723.50078,-20748965.000257354,-12243951.059143899,-11688589.80812994,-2615212.847584134,-422000.2549510761,0.26664782519347624
36,-102937286030.04622,-20614602.757449873,-12164663.985060386,-11612899.037922485,-2598277.74438183,-419267.54511615896,0.2639738136581629
37,-100078313324.85933,-20422977.252912022,-12051585.896624835,-11504949.94652004,-2574125.1429684116,-415370.1935244482,0.26076717732569304
38,-96618621238.56271,-20191087.9311359,-11914748.15522763,-11374318.89272565,-2544897.664223377,-410653.94127240864,0.2570622144364125
39,-92913950199.695,-19942778.65008476,-11768221.006298337,-11234437.923640085,-2513600.603287023,-405603.7337122243,0.2529268776762796
40,-89164093152.50894,-19691440.731640063,-11619906.660368033,-11092850.821252434,-2481921.810952395,-400491.92858550017,0.24843990322944046
41,-85539516856.61308,-19448499.880831346,-11476547.418712761,-10955994.069471998,-2451301.3904046672,-395550.90617893497,0.243667446261731
42,-81916030718.42802,-19205632.098933354,-11333231.294975264,-10819178.479866406,-2420690.1795092793,-390611.36987536104,0.23870589348134774
43,-78321985868.7857,-18964737.64884123,-11191079.633082211,-10683474.53443361,-2390327.6886195014,-385711.9679363286,0.2336195355064514
44,-74890965217.08997,-18734770.05864067,-11055375.90426634,-10553926.056666885,-2361342.4261539755,-381034.80058393703,0.22847961969414704
45,-71609242903.477,-18514809.338848453,-10925577.223318322,-10430014.785549488,-2333618.4360485733,-376561.15672601986,0.22332891791429474
46,-68513377027.13187,-18307305.83262054,-10803129.53617712,-10313121.081790445,-2307464.5611252096,-372340.8723633861,0.21820380051348562
47,-65674029127.885605,-16579100.628071612,-10248802.760067508,-9546882.68511267,-2144389.8780723773,-346026.5485071337,0.213125721420537
48,-63059576525.33099,-15919094.330899388,-9840802.681422265,-9166825.718700992,-2059022.7128159127,-332251.3922952951,0.20811336701084782
49,-60623319500.30978,-15355750.413974885,-9472849.663721865,-8835316.656173745,-1982034.7225857514,-319828.3302354281,0.2031825627753042
50,-58365936407.9126,-14833713.815097699,-9131899.491367185,-8528123.730686387,-1910696.6243082515,-308316.9552861043,0.19834921175721423
51,-56258544502.955284,-14346076.796175811,-8813535.68968656,-8241216.398073571,-1844084.3448204882,-297568.155641488,0.19363490888481977
52,-54252560746.75848,-13880792.715920968,-8510228.210289406,-7967627.740832473,-1780622.347942463,-287327.69705435203,0.1890525421617931
53,-52346438722.53218,-13437723.930616912,-8221795.5819892995,-7707243.7057354245,-1720272.6638757086,-277589.45257994387,0.18461138666674295
54,-50531248225.171936,-13014825.755489755,-7946893.859178461,-7458858.016790509,-1662754.0945695373,-268308.0470782663,0.18031768719664354
55,-48771152899.23026,-12603070.173299393,-7679935.005676397,-7217269.420427227,-1606897.4372883446,-259294.81374425563,0.1761792426381516
56,-47096055100.7059,-12210350.709267803,-7425667.114178164,-6986975.8438862,-1553696.150697868,-250710.06068079238,0.17220179363175725
57,-45502520685.308586,-11835991.449034967,-7183599.505429833,-6767561.7738393005,-1503047.5684037851,-242537.22126515626,0.1683963623061544
58,-43982672763.12414,-11478145.346596906,-6952536.44250307,-6557944.139807419,-1454701.5025328398,-234735.92427234462,0.16476554942985128
59,-42551965656.86102,-10977426.58319407,-6941141.11459288,-6403067.534444727,-1438536.983856796,-232127.55875871025,0.16130497946968922
60,-41199719835.400055,-10663443.996961184,-6729132.740921639,-6214975.341131604,-1394598.6916684662,-225037.5161555934,0.15801361700093733
61,-39793584167.96427,-10333179.159550343,-6507748.652744741,-6017723.557033502,-1348717.3022510489,-217633.9283177829,0.1549077879354717
62,-38400856808.22458,-10004027.484551152,-6287974.996059664,-5821453.992324752,-1303169.671393313,-210284.19697483006,0.15200117363860957
63,-37382704853.50837,-9770418.366249276,-6129034.841941603,-5681068.416848769,-1270229.6567553682,-204968.87643097987,0.14927471498209058
64,-36240637545.69345,-9502594.37674069,-5949328.845130757,-5521044.477877343,-1232985.9646353852,-198959.09883889172,0.14672547233905955
65,-35398994140.53199,-9311865.279858833,-5818528.250671497,-5406047.368868502,-1205877.8149041377,-194584.8292231677,0.14435011942009732
66,-34896964579.1848,-9209336.041693358,-5743270.3767539915,-5342413.362536491,-1190280.777879612,-192068.03461239196,0.14214970683544717
67,-34376899063.67097,-9101182.143042903,-5664831.525637876,-5275636.43987664,-1174024.4899812804,-189444.86088334298,0.14011940585226867
68,-33857075107.760117,-8992212.179717334,-5586216.120757926,-5208508.168544888,-1157731.6116845226,-186815.78279454797,0.1382536140684578
69,-33561783057.397594,-8942186.585231239,-5544477.552469977,-5175616.997235291,-1149081.3806714667,-185419.9500628958,0.1365529166531044
70,-33310227529.45553,-8903351.355139755,-5509850.573092198,-5149266.2474744925,-1141905.0115915388,-184261.94505227104,0.13501660082957773
71,-32944592784.29208,-8981949.8850201,-5186115.153546596,-5083221.118358819,-1165407.3494316887,-188054.3677492043,0.1336410451293573
72,-32695262877.552574,-8941603.829446902,-5153331.62617679,-5056830.086013426,-1158040.3391347923,-186865.60017856877,0.13242415169274363
73,-32586761179.207996,-8939469.513922237,-5142674.263990677,-5052088.118368661,-1155645.4505043775,-186479.15224047907,0.13136415920600483
