,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew
0,-45771036456.379486,-16703682.04439113,-9523121.845114317,-9291520.400645036,-2034064.8601215042,-328224.1024286973
1,-67258641315.690926,-24545368.561748248,-13993832.912142655,-13653504.187085258,-2988974.0200693044,-482311.7168748196
2,-72620953544.18396,-26502290.786414493,-15109515.594402913,-14742053.569469342,-3227275.1755035347,-520764.8578653431
3,-84635689799.28922,-30886948.635352608,-17609301.619640116,-17181045.02925571,-3761210.0546804126,-606922.531550703
4,-121558167753.41455,-44361437.73993111,-25291392.382775433,-24676308.053943153,-5402044.974961743,-871693.6209597357
5,-140783289505.2391,-51377453.67204196,-29291371.21446005,-28579007.76956354,-6256409.385612826,-1009556.9690420696
6,-143102163611.45493,-52223703.588364355,-29773836.16099931,-29049739.213125348,-6359460.150893056,-1026185.6152577432
7,-141374327236.21094,-51593146.98158281,-29414342.524766047,-28698988.428950816,-6282675.102377214,-1013795.3006108685
8,-132302715555.38417,-48282553.0147819,-27526902.99845323,-26857451.257742986,-5879532.679281272,-948742.7732476598
9,-122061750796.41182,-44545215.335642524,-25396167.870701443,-24778535.411671598,-5424424.20539254,-875304.814961069
10,-123420351651.80388,-45041023.13180931,-25678838.364674315,-25054331.38531619,-5484800.427406164,-885047.3416950855
11,-107377611412.477,-39061827.47963089,-21234996.432931453,-21361702.014398176,-4535630.306063028,-731885.7993874432
12,-110204865747.78868,-40090326.06173056,-21794114.25028269,-21924155.99186508,-4655053.529186593,-751156.3649369277
13,-103819448702.5027,-37767439.04899643,-20531334.175406933,-20653841.12487589,-4385333.5131937135,-707633.3623562584
14,-99784110663.90868,-36299463.7773167,-19733305.72489458,-19851050.975477993,-4214880.834443502,-680128.4982852015
15,-105165270682.70667,-38257022.16895503,-20797483.93021207,-20921578.94961766,-4442181.033637528,-716806.4849733285
16,-100453512017.74483,-36542978.60181521,-19865686.536629215,-19984221.680810157,-4243156.347629541,-684691.1379129487
17,-101409166174.18828,-36890626.47084621,-20054676.702607475,-20174339.51869302,-4283523.179197713,-691204.8766432673
18,-102861848122.46986,-37419083.10999209,-20341959.08469964,-20463336.065484155,-4344884.464693126,-701106.3568027546
19,-104136791030.41504,-37882881.84104438,-20594091.794174876,-20716973.20759077,-4398738.0531247305,-709796.3676633089
20,-105524136484.24615,-38387570.370239064,-20868453.231124517,-20992971.712175928,-4457339.525094557,-719252.5142766217
21,-106700179315.96315,-38815391.23156107,-21101027.46152487,-21226933.67311771,-4507015.574306283,-727268.4222176048
22,-107493148377.86722,-39103857.51690053,-21257845.02320702,-21384686.938292902,-4540510.58748111,-732673.2993435429
23,-108047006345.73543,-38512274.94187393,-20922222.308788206,-21056200.59665692,-4468824.182459617,-721105.7203514382
24,-108528994058.2643,-38684074.64212772,-21015554.409442298,-21150130.362074547,-4488759.194249812,-724322.5063448559
25,-109003479243.75449,-38853200.141643845,-21107433.720760617,-21242598.035022873,-4508383.9015216855,-727489.2204728173
26,-109436917391.0066,-39007694.834850386,-21191364.683594517,-21327066.461159367,-4526310.903292033,-730381.986667578
27,-109667672410.98097,-39089945.15417005,-21236048.085662354,-21372035.999451973,-4535854.930918173,-731922.045670887
28,-109815100195.25471,-39142494.313596584,-21264596.00180912,-21400766.726051237,-4541952.544075735,-732905.9787031299
29,-109940341284.45206,-39187135.247430086,-21288847.686321296,-21425173.70951402,-4547132.515524938,-733741.837732433
30,-109977532886.79669,-39200391.8221698,-21296049.46819931,-21432421.60897894,-4548670.760197911,-733990.054486481
31,-109842898221.4028,-39152402.64203681,-21269978.811592437,-21406184.00538698,-4543102.27043722,-733091.5027296423
32,-109245532255.75362,-38939477.517240815,-21154304.866004128,-21289769.326001264,-4518395.214097969,-729104.6822748996
33,-108119902611.50365,-38538258.08684435,-20936337.941691563,-21070406.62092983,-4471839.172011791,-721592.2300291753
34,-106647975391.51984,-38013604.34855332,-20651313.9548139,-20783557.444299385,-4410960.262193261,-711768.5877630033
35,-104941410721.9104,-35169014.97523383,-20753213.384365,-19811888.930189468,-4432725.188893495,-715280.6554805413
36,-102936347495.52588,-34497058.13617559,-20356692.080715194,-19433353.043680333,-4348031.3182110125,-701614.1445295044
37,-100077301582.20287,-33538906.079243645,-19791287.16089644,-18893593.76570408,-4227265.218832249,-682126.8875842948
38,-96618452140.69511,-32379741.865911152,-19107265.095343865,-18240597.57964183,-4081163.418422961,-658551.3697909778
39,-92913664099.54375,-31138156.249680094,-18374606.21232577,-17541170.645352867,-3924673.1715647276,-633299.5345024902
40,-89163180529.78198,-29881256.690945834,-17632910.581569683,-16833116.852217544,-3766252.7455779905,-607736.238490994
41,-85538606734.33862,-28666553.274878904,-16916114.867782805,-16148833.56537579,-3613150.7484584632,-583031.143501252
42,-81915473972.71117,-27452332.79247469,-16199604.132843358,-15464822.331308141,-3460109.620607319,-558335.8705979992
43,-78321611094.60991,-26247921.526136618,-15488881.810070055,-14786336.958551407,-3308304.852636322,-533840.1012208611
44,-74890280100.13028,-25097979.569956657,-14810301.792601762,-14138535.980103595,-3163365.431429502,-510452.14916248794
45,-71608635633.29558,-23998202.059786346,-14161323.782840533,-13518994.321209874,-3024748.7691504047,-488084.46047654265
46,-68513028160.60686,-22960771.127464175,-13549136.449041612,-12934574.586440971,-2893990.3095040335,-466984.79994269635
47,-65673507952.13919,-21427952.174623974,-13258167.78537786,-12330857.853093656,-2774048.975898359,-447630.6302017807
48,-63058936784.9118,-20574869.89418102,-12730338.158137994,-11839945.970735041,-2663609.489794674,-429809.7131259588
49,-60622743579.49775,-19779988.775118526,-12238519.473829005,-11382526.3344865,-2560704.6887979847,-413204.62023785664
50,-58365288990.55231,-19043426.491837405,-11782784.541412698,-10958666.660866102,-2465349.806960929,-397817.8097596045
51,-56257820357.622475,-18355801.62628506,-11357328.773796825,-10562968.350347197,-2376330.331905973,-383453.3035575548
52,-54251906325.219604,-17701311.995792653,-10952374.848935334,-10186337.931623233,-2291600.523177276,-369780.9935126968
53,-52345749339.65768,-17079371.094543505,-10567559.876690092,-9828437.896014126,-2211084.45210714,-356788.6274991067
54,-50530516101.209984,-16487096.793502793,-10201100.590512272,-9487609.703163188,-2134409.0001151096,-344415.9977458473
55,-48770490078.86989,-15912835.502933666,-9845786.537122253,-9157147.21720861,-2060065.5009314637,-332419.6603775771
56,-47095444980.7486,-15366301.78831865,-9507628.432713525,-8842640.749585357,-1989311.5959868203,-321002.5529887824
57,-45501806052.31712,-14846329.27875003,-9185904.60584178,-8543419.104383064,-1921996.287649875,-310140.3100525935
58,-43982050179.796005,-14350463.332663838,-8879096.290297218,-8258069.741758498,-1857801.799594583,-299781.6540254895
59,-42551295206.26271,-13663220.890730955,-8853222.48061502,-8031982.48313415,-1834811.8492940478,-296071.9120451759
60,-41198978208.44222,-13228991.902730796,-8571859.40604849,-7776719.126625556,-1776499.9403480287,-286662.49037434097
61,-39792628332.86839,-12777412.95768404,-8279254.250936598,-7511256.524112239,-1715858.133713285,-276877.10794009827
62,-38399919867.573784,-12330214.269477941,-7989487.327647402,-7248368.874203228,-1655804.5446897815,-267186.64243857836
63,-37381804753.76437,-12003297.506433738,-7777658.297068215,-7056189.465320564,-1611903.4209823196,-260102.59747669246
64,-36239596800.205444,-11636534.532545967,-7540010.510250744,-6840586.29200678,-1562651.4140248587,-252155.11453582946
65,-35397943683.87577,-11366279.716892509,-7364896.162867192,-6681715.849768391,-1526359.331648723,-246298.89215240758
66,-34896037681.856,-11205117.699643962,-7260469.60008696,-6586976.07282714,-1504717.1448416307,-242806.63019035404
67,-34375954128.26221,-11038118.870584995,-7152261.015926235,-6488805.101250775,-1482291.1420106664,-239187.88882444843
68,-33856104015.56347,-10871194.999397429,-7044101.001478136,-6390678.193977761,-1459875.2051510967,-235570.7717402906
69,-33560830693.841824,-10776382.735792609,-6982666.43416073,-6334942.401769583,-1447143.0195184594,-233516.2599677514
70,-33309238137.6408,-10695596.36599646,-6930320.086917545,-6287451.790861079,-1436294.3484950713,-231765.67896170466
71,-32943433700.04175,-10761631.48679264,-6514893.448520256,-6184470.8085088385,-1464006.1936298553,-236237.3630629994
72,-32694304507.311226,-10680248.453403361,-6465625.659365868,-6137701.785157537,-1452934.8923049108,-234450.8576219288
73,-32584599189.239235,-10644411.017148783,-6443930.335663951,-6117106.805795882,-1448059.5879697914,-233664.16078603454
74,-32494305326.786236,-10627766.868744113,-6413221.673782395,-6100155.938997581,-1441158.8348649354,-232550.63017138728
75,-32438786916.4776,-10635269.089009354,-6376603.933598993,-6089733.46783034,-1432930.2124248547,-231222.82973219248
76,-32498215360.53988,-10680460.482524568,-6362578.5990033625,-6100889.969634152,-1429778.4837161682,-230714.25532692712
77,-32603286556.857845,-10740782.382821534,-6357359.186191428,-6120614.985318924,-1428605.593822548,-230524.99354863842
78,-32662821241.833473,-10786233.006587874,-6343130.337266857,-6131791.431729399,-1425408.1320193121,-230009.03948493444
79,-32864533748.35992,-10878841.623846402,-6356305.809805993,-6169658.9205796085,-1428368.8824220183,-230486.7969362802
80,-33185989630.219105,-11011501.626544751,-6392226.915231055,-6230005.833281033,-1436440.9593085966,-231789.33661570534
81,-33546588861.49345,-11157689.385781538,-6435148.210851476,-6297701.126968167,-1446086.096734626,-233345.71106399642
82,-33933308203.252846,-11313155.92578597,-6482488.895245924,-6370299.9489966575,-1456724.3451897693,-235062.33751925823
83,-34342366322.13587,-11238814.117849544,-6805695.41879031,-6481434.795976704,-1395497.9344160324,-225182.62123531432
84,-34772742501.44844,-11408310.90536021,-6862331.187175846,-6562659.692298365,-1407111.0162442124,-227056.5503484979
85,-35221030495.85065,-11584408.256268255,-6921777.797166552,-6647265.085481893,-1419300.4570500734,-229023.48284217095
86,-35692157352.24931,-11768775.043757169,-6984955.1938351905,-6736180.857090013,-1432254.89023106,-231113.8572872847
87,-36193545218.635376,-11963921.146200802,-7053253.318026788,-6830807.789113056,-1446259.3211332597,-233373.6631828669
88,-36723439359.83667,-12169339.888183959,-7126256.8546550255,-6930814.710381976,-1461228.59000305,-235789.15884140125
89,-37275604805.48285,-12383030.467591017,-7202690.56535384,-7035024.894938779,-1476901.2110706123,-238318.14996821247
90,-37845323878.03595,-12603476.829806805,-7281591.69542963,-7142547.975501726,-1493079.7728880947,-240928.7815342153
91,-38426241844.885796,-12828600.839915125,-7361699.412643219,-7252184.623385296,-1509505.7436410175,-243579.33590570965
92,-38961563986.94796,-13039422.465767823,-7432152.099894244,-7353215.971256688,-1523951.964560839,-245910.4306450445
93,-39442801408.9874,-13232980.987112455,-7491450.157211794,-7444039.909918192,-1536110.9448574083,-247872.44792017274
94,-39970699997.03304,-13443025.764402151,-7558779.1350389235,-7543670.210440047,-1549916.653708952,-250100.18730303546
95,-40558810298.617966,-13867530.968001772,-7483843.537499685,-7695223.077956787,-1631113.1149692198,-263202.3435518514
96,-41179124542.12851,-14112876.619778652,-7565049.91293406,-7812915.299378042,-1648812.1466668253,-266058.32366669225
97,-41812244257.60588,-14363623.125654187,-7647596.61887728,-7933037.102995565,-1666803.3050852008,-268961.4424114756
98,-42440298810.16155,-14613648.036169887,-7728198.466463463,-8052197.893251953,-1684370.5791776916,-271796.1616400366
99,-43045294993.6471,-14856728.873826554,-7803605.769679094,-8166983.819144666,-1700805.6957889842,-274448.1918204952
100,-43621261383.778885,-15090743.96841011,-7872796.661852608,-8276261.922344368,-1715885.937792326,-276881.594507398
101,-44167575554.28686,-15315407.162962742,-7935729.636080492,-8379914.109914846,-1729602.2587058733,-279094.9099275386
102,-44679125903.986206,-15528870.013013354,-7991562.236622106,-8476970.557763303,-1741771.0442409979,-281058.50941161555
103,-45154747285.58119,-15730642.39661293,-8040171.2169355815,-8567210.202493321,-1752365.4326588346,-282768.0584517665
104,-45599006559.51794,-15922231.927088277,-8082453.09603875,-8651499.514537338,-1761580.8214072967,-284255.0870907228
105,-46014420231.935524,-16104443.371983996,-8118927.870713826,-8730315.950605128,-1769530.5444393123,-285537.88330725266
106,-46403731183.7289,-16278169.038357472,-8150147.168692933,-8804179.917488884,-1776334.8297131418,-286635.84752189333
107,-46774368173.1142,-17177967.163489446,-7760254.971688119,-9016227.209049493,-1746644.7143709762,-281844.9425462257
108,-47133616930.39069,-17346021.3208332,-7783737.881773902,-9085475.999502111,-1751930.1464771407,-282697.8190906295
109,-47485477407.20399,-17511901.394910183,-7805455.739514695,-9153300.625012642,-1756818.3082152293,-283486.59064382105
110,-47835943012.12134,-17677805.268570684,-7826406.107771924,-9220856.37501651,-1761533.7267310016,-284247.4877225025
111,-48190142045.29494,-17845628.831787486,-7847427.301081963,-9289131.780651053,-1766265.0862441498,-285010.95709848776
112,-48547047207.49849,-18014999.453955267,-7868344.235194625,-9357928.81971741,-1770972.9795468848,-285770.6398814291
113,-48904885304.16473,-18185263.994594943,-7888864.654173519,-9426905.691230793,-1775591.6269337204,-286515.9216188503
114,-49261532003.62673,-18355633.038602095,-7908645.364451529,-9495652.90901909,-1780043.78387697,-287234.3378528747
115,-49611121714.51114,-18523913.739121675,-7926751.914187079,-9563039.821689168,-1784119.1279869864,-287891.95019790006
116,-49946334342.38699,-18687351.069336016,-7942036.548651035,-9627655.407838518,-1787559.3275802932,-288447.07331409276
117,-50261358047.06957,-18843733.031308446,-7953612.625067167,-9688379.377153132,-1790164.8209254423,-288867.5051947873
118,-50551344722.697876,-18991191.869090594,-7960763.083263005,-9744277.208747244,-1791774.2152119256,-289127.2029091971
119,-50812724127.35301,-19847076.06249451,-7877362.4758718405,-10051773.086872973,-1700831.957116271,-274452.4294437619
120,-51044472255.80356,-19976290.969328746,-7874593.982882789,-10097617.50164306,-1700234.2010318898,-274355.9733483276
121,-51248216636.27206,-20094876.727388676,-7867175.233694086,-10137922.21498734,-1698632.3900525644,-274097.4993039365
122,-51430042942.19075,-18314238.291714124,-9747021.73840399,-10173891.094824173,-2104517.3571944456,-339592.5735472855
123,-51597205845.218376,-18373765.001482267,-9778702.451785788,-10206959.260301098,-2111357.663186336,-340696.3501959769
124,-51754261187.042,-18429692.40870566,-9808467.5801682,-10238027.948020648,-2117784.3677737587,-341733.3866180383
125,-51907056298.25727,-18484102.747809418,-9837425.30964572,-10268253.876921253,-2124036.743724688,-342742.29273739277
126,-52059314165.64231,-18538321.77438523,-9866281.220672531,-10298373.528247362,-2130267.1356580835,-343747.65143573616
127,-52211261006.30534,-18592430.044345334,-9895078.18591499,-10328431.652267322,-2136484.800378015,-344750.95642463415
128,-52361155279.64408,-18645807.39508126,-9923486.148598148,-10358083.737419192,-2142618.474043036,-345740.70831148984
129,-52507674392.18838,-18697982.851058282,-9951254.450807542,-10387068.148262704,-2148614.036128348,-346708.1740116198
130,-52651061186.47053,-18749042.888502154,-9978429.116059896,-10415432.9239076,-2154481.423750374,-347654.9570142649
131,-52792941829.09042,-21636131.349816125,-10549085.636288848,-11675159.085503347,-2137058.2852415806,-344843.49602761865
132,-52935820739.72972,-21694687.41376343,-10577635.700212793,-11706756.756591229,-2142842.0235442594,-345776.78107191453
133,-53083469960.66871,-21755198.493980855,-10607138.967540821,-11739409.381801885,-2148818.8640078693,-346741.225783088
134,-53243149023.67197,-21820639.76437148,-10639046.037910132,-11774722.406585056,-2155282.6724782414,-347784.2494226253
