,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
0,-52368703000.0,-20890923.00076,-8274255.074,-13621099.650300002,-2304222.932,-371817.7913,0.056314978
1,-51045997000.0,-20363269.123239998,-8065267.526000001,-13277063.819700003,-2246023.8680000002,-362426.5787,0.055205789
2,-49692042000.0,-19823149.39464,-7851342.636,-12924900.124200001,-2186449.848,-352813.4982,0.054113673
3,-48371718000.0,-19296445.74456,-7642731.444,-12581483.851800002,-2128355.592,-343439.19779999997,0.053085294
4,-47051370000.0,-18769732.5204,-7434116.46,-12238061.337000001,-2070260.28,-334064.727,0.052088634
5,-45627063000.0,-17775391.20354,-7136985.19446,-11634901.065000001,-1987514.86428,-320712.625827,0.051044899
6,-44523220000.0,-17345356.0476,-6964322.0724,-11353421.1,-1939431.4632,-312953.71338000003,0.050256049
7,-43416835000.0,-16914330.5793,-6791261.330699999,-11071292.924999999,-1891237.3326,-305176.93321499997,0.049481255
8,-42213551000.0,-16445555.198580002,-6603043.647419999,-10764455.504999999,-1838822.28156,-296719.049979,0.048655095
9,-41259711000.0,-15463314.48858,-6388653.6512400005,-10205589.51585,-1779118.73832,-287085.06913799996,0.048028075
10,-40199844000.0,-15066097.534319999,-6224543.844959999,-9943431.4134,-1733417.2732799998,-279710.514552,0.047404441
11,-39309765000.0,-14732513.726699999,-6086724.0126,-9723270.37275,-1695037.0668,-273517.34487,0.04694198
12,-38384310000.0,-14385671.701799998,-5943426.5604,-9494359.078499999,-1655131.4471999998,-267078.02897999994,0.046524443
13,-37552768000.0,-13399578.677760001,-5874003.970559999,-9001398.489599999,-1635798.57408,-263958.406272,0.046226885
14,-36771226000.0,-13120708.861320002,-5751755.1709199995,-8814062.872200001,-1601754.6045600001,-258464.947554,0.046123625
15,-36068828000.0,-12870079.206960002,-5641886.075759999,-8645698.0716,-1571158.1476800002,-253527.79201200002,0.046228952
16,-35421747000.0,-12639187.764540004,-5540669.66574,-8490592.755900001,-1542971.2993200002,-248979.45966300002,0.046558979
17,-34903441000.0,-11611676.75188,-5349301.367659999,-7921335.934950001,-1489678.86188,-240379.99816699998,0.047073096
18,-34508319000.0,-11480227.56492,-5288744.96994,-7831662.997050001,-1472815.05492,-237658.792953,0.047756548
19,-34240269000.0,-11391052.69092,-5247663.62694,-7770829.049550001,-1461374.68092,-235812.73260299998,0.048517662
20,-34040243000.000004,-11324508.041240001,-5217007.64218,-7725433.148850001,-1452837.5712400002,-234435.153541,0.049605588
21,-33969453000.0,-10534606.764360001,-5045143.15956,-7276256.8326,-1404976.57608,-226712.129322,0.050823052
22,-34020993000.000004,-10550590.34916,-5052797.88036,-7287296.7006,-1407108.2704800002,-227056.107282,0.051922829
23,-34170250000.0,-10596877.93,-5074965.529999999,-7319267.55,-1413281.54,-228052.2485,0.05309989
24,-34508080000.0,-10701645.7696,-5125140.041599999,-7391630.736,-1427254.1888000001,-230306.92591999998,0.054709442
25,-34820145000.0,-10147983.058799999,-5061456.2772,-7103309.579999999,-1409519.4696,-227445.18714,0.055821368
26,-35320951000.0,-10293937.95944,-5134253.437360001,-7205474.004000001,-1429792.09648,-230716.451932,0.057292252
27,-35930797000.0,-10502627.818759955,-5191944.310840044,-7329882.5879999995,-1445857.9093478604,-233308.88991749563,0.058803102
28,-36646492000.0,-10775033.848817926,-5232153.856782072,-7475884.368,-1457055.504420324,-235115.7745769159,0.060350183
29,-37369045000.0,-11044740.711676866,-5278058.144323133,-7623285.18,-1469838.976900113,-237178.56218160916,0.061752795
30,-38334453000.0,-10946029.902536381,-5170540.827723621,-7526969.84655,-1439897.4456951858,-232347.08782808678,0.063375119
31,-39246223000.0,-11267346.929927109,-5232550.143732891,-7705995.88605,-1457165.8628116914,-235133.58240825016,0.064739927
32,-40253913000.0,-11620488.102836847,-5303062.0006231535,-7903855.81755,-1476802.0761229035,-238302.1531925594,0.066021301
33,-41327975000.0,-11997764.748863049,-5377342.500636952,-8114747.891249999,-1497487.7849875058,-241640.07439571116,0.06726118
34,-42434043000.0,-12278106.38978477,-5330324.093495228,-8223717.5334,-1484394.0513531016,-239527.22192288682,0.068414456
35,-43600249000.0,-12686104.683259359,-5406254.641780642,-8449728.2562,-1505539.2673313178,-242939.29086482627,0.069578821
36,-44717392000.0,-13078778.340794787,-5477150.643525213,-8666230.569600001,-1525282.4576905656,-246125.123854614,0.070654518
37,-45912454000.0,-12740705.985,-6311125.92684,-8897833.5852,-1757528.73912,-283601.228358,0.071768342
38,-47154765000.0,-13817289.2403,-6779912.1117,-9619572.06,-1888076.7906,-304666.936665,0.07290271
39,-48365997000.0,-14172204.44094,-6954063.048660001,-9866663.388,-1936574.51988,-312492.70661700005,0.074031609
40,-49649019000.0,-14548155.547379998,-7138535.95182,-10128399.876,-1987946.72076,-320782.311759,0.075251443
41,-50921405000.0,-14920990.093099998,-7321479.6109,-10387966.62,-2038893.0562,-329003.197705,0.076475437
42,-52303055000.0,-16986986.2029,-8429160.343799999,-11870178.33225,-2347361.1084000003,-378778.72431,0.077811663
43,-53665678000.0,-17429538.90084,-8648760.66648,-12179425.622100001,-2408515.6286400002,-388646.840076,0.079131918
44,-55052079000.0,-17879814.217619997,-8872193.05164,-12494069.32905,-2470737.30552,-398687.156118,0.080471938
45,-56559910000.0,-18369527.5698,-9115195.0956,-12836271.574500002,-2538408.7608000003,-409606.86822,0.081919633
46,-58035307000.0,-21692437.05046,-9994840.57154,-14799003.285,-2783373.32372,-449135.240873,0.083327842
47,-59644033000.0,-22293746.65474,-10271895.363260001,-15209228.415000001,-2860527.82268,-461585.171387,0.084837705
48,-61209895000.0,-22879034.553099997,-10541568.116899999,-15608523.225,-2935626.5642,-473703.377405,0.086287352
49,-62885437000.0,-23505318.641859997,-10830129.96014,-16035786.434999999,-3015985.55852,-486670.39694299997,0.087815143
50,-64643559000.0,-27283460.511540003,-11541461.02386,-18132518.2995,-3214077.75348,-518635.273857,0.089412685
51,-66355467000.00001,-28005988.402020007,-11847105.07818,-18612708.4935,-3299193.81924,-532369.911741,0.090764475
52,-68165662000.0,-28769999.30372,-12170297.29348,-19120468.191,-3389196.71464,-546893.106226,0.091960711
53,-69858506000.0,-29484481.04236,-12472537.661239998,-19595310.933,-3473364.9183199997,-560474.7936379999,0.092878172
54,-71580677000.0,-30211340.534620002,-12780014.071579998,-20078379.8985,-3558991.26044,-574291.771571,0.09363133
55,-73133026000.0,-33209707.106599998,-12710519.9188,-21446259.8745,-3539638.4584000004,-571168.9330600001,0.094111624
56,-74641517000.0,-33894712.8697,-12972695.654600002,-21888624.860250004,-3612649.4228000008,-582950.2477700001,0.094306297
57,-75922124000.0,-34476236.50839999,-13195265.1512,-22264162.862999998,-3674630.8016000004,-592951.78844,0.094217862
58,-77081840000.0,-35002863.54399999,-13396823.792,-22604249.58,-3730761.0560000003,-602009.1704000001,0.093860057
59,-77986207000.0,-37430259.91171999,-12814693.534239998,-23466049.6863,-3568648.83232,-575850.1524879999,0.093318837
60,-78720614000.0,-37782745.89544,-12935371.29248,-23687032.7526,-3602255.2966400003,-581273.013776,0.092660713
61,-79271929000.0,-38047355.04284,-13025963.37328,-23852923.4361,-3627483.4710400007,-585343.923736,0.091889094
62,-79593972000.0,-38201922.80112,-13078881.479039999,-23949826.174799997,-3642220.15872,-587721.8892479999,0.091125568
63,-79770777000.0,-38538857.78424,-12855858.42132,-24003026.7993,-3580112.47176,-577699.967034,0.090225823
64,-79791387000.0,-38548814.88744,-12859179.92892,-24009228.3483,-3581037.4485600004,-577849.224654,0.08936356
65,-79650810000.0,-38480899.327199996,-12836524.5396,-23966928.729,-3574728.3528,-576831.16602,0.088460786
66,-79409925000.0,-38364522.966,-12797703.513,-23894446.432499997,-3563917.4340000004,-575086.67685,0.087614416
67,-79035079000.0,-37751895.83514,-12737293.33164,-23580115.819649998,-3547094.34552,-572372.042118,0.086701786
68,-78615568000.0,-37551512.21088,-12669684.93888,-23454954.712799996,-3528266.69184,-569333.943456,0.085929332
69,-78082300000.0,-37296791.418,-12583743.468,-23295854.205,-3504333.6240000003,-565472.0166,0.085148655
70,-77521169000.0,-37028761.584539995,-12493311.59604,-23128440.771149997,-3479150.06472,-561408.3058979999,0.084461594
71,-76958962000.0,-35079434.05883999,-12402706.315919999,-22175724.9003,-3453918.21456,-557336.802804,0.083862377
72,-76329901000.0,-34792695.47381999,-12301326.84516,-21994460.973149996,-3425685.95688,-552781.143042,0.083265922
73,-75700068000.0,-34505604.995759994,-12199822.95888,-21812974.594199996,-3397419.0518400003,-548219.892456,0.082727205
74,-75067928000.0,-34217462.94096,-12097947.27648,-21630823.453199998,-3369048.60864,-543641.934576,0.082232439
75,-74440377000.0,-31835171.627820004,-12467274.33996,-20690702.787150003,-3471899.1832799995,-560238.277302,0.081772473
76,-73824588000.0,-31571823.304080006,-12364141.998240001,-20519544.234600004,-3443178.78432,-555603.849288,0.081396464
77,-73276928000.0,-31337611.028480005,-12272419.901440002,-20367322.137600005,-3417635.92192,-551482.160128,0.081126628
78,-72715891000.0,-31097677.945060007,-12178457.424680002,-20211381.903450005,-3391469.1562400004,-547259.795666,0.080917496
79,-72196423000.0,-30875522.260180004,-12091456.92404,-20066995.772850003,-3367241.16872,-543350.2794979999,0.080788543
80,-71731284000.0,-29779959.86544,-12126890.87304,-19571880.8394,-3377108.8507200005,-544942.564548,0.080659314
81,-71196899000.0,-29558104.588840004,-12036547.744940002,-19426073.892150003,-3351950.0049200007,-540882.841703,0.080319968
82,-70831252000.0,-29406302.58032,-11974731.463119999,-19326307.1082,-3334735.34416,-538105.021444,0.080009319
83,-70372948000.0,-29216033.091680005,-11897250.58888,-19201258.861800004,-3313158.3918400006,-534623.2859560001,0.079511909
84,-69917985000.0,-28705527.921600003,-11378452.8789,-18720540.48375,-3168683.0802,-511310.224305,0.078938017
85,-69381931000.0,-28485445.591360003,-11291215.45094,-18577012.02525,-3144389.1129199998,-507390.06140299997,0.07815655
86,-68832693000.0,-28259950.438080005,-11201832.45882,-18429953.55075,-3119497.64676,-503373.483909,0.077299219
87,-68166498000.00001,-27986437.41888001,-11093415.884520002,-18251579.839500003,-3089305.68936,-498501.599874,0.076233514
88,-67422191000.00001,-28000435.922300007,-10652706.178000001,-18052291.64025,-2966576.404,-478697.55610000005,0.07503347
89,-66633386000.0,-27672845.205800004,-10528074.988,-17841089.1015,-2931868.984,-473097.04059999995,0.073733157
90,-65750876000.00001,-27306338.802800007,-10388638.408,-17604797.049000002,-2893038.544,-466831.2196,0.072275543
91,-64652215000.0,-26850064.889500003,-10215049.969999999,-17310630.56625,-2844697.46,-459030.72649999993,0.070483336
92,-63553207000.0,-27178400.097001236,-9950654.496538764,-17340492.52995,-2771068.340808263,-447149.6640849697,0.068741268
93,-62358806000.0,-26667616.931420647,-9763644.709899351,-17014600.217100002,-2718989.6660479205,-438746.0597486417,0.067022406
94,-61089294000.0,-26124712.699004114,-9564874.641675888,-16668213.867900003,-2663635.9761629053,-429813.9870626506,0.065354565
95,-59468667000.0,-25431654.848847114,-9311129.785892889,-16226025.790950002,-2592972.8517676396,-418411.52835341456,0.063386743
96,-58208821000.0,-24892884.261729352,-9113873.14289065,-15882276.809850002,-2538040.6220708136,-409547.46401597216,0.061949346
97,-56835858000.0,-24305739.418946214,-8898905.541813785,-15507663.855300002,-2478176.2268342185,-399887.5275118853,0.060487076
98,-55399205000.0,-23691357.676817022,-8673965.868282977,-15115673.084250001,-2415534.798762348,-389779.478891197,0.059062542
99,-53755086000.0,-22988253.520498343,-8416542.82242166,-14667075.215100002,-2343847.368269323,-378211.73442527704,0.057536946
100,-52492610000.0,-20847577.83570391,-8386606.525496089,-13653327.861000001,-2335510.677986253,-376866.4957659635,0.056427372
101,-51127666000.0,-20305486.74361729,-8168533.005102709,-13298305.9266,-2274781.3431931594,-367066.98946980527,0.055278231
102,-49691028000.0,-19734922.19125973,-7939005.12250027,-12924636.382800002,-2210862.1860127333,-356752.7618338729,0.0541173
103,-48335034000.0,-19196385.615163635,-7722361.520116363,-12571942.343400002,-2150531.0562349367,-347017.5113470011,0.053062138
104,-47134545000.0,-18719608.25796219,-7530562.543437811,-12259695.1545,-2097118.6829826816,-338398.6965722054,0.052156824
105,-45827809000.0,-17773412.839194912,-7248570.874805091,-11686091.295,-2018589.3575406587,-325726.9190576972,0.051197074
