,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
2024-09-15 00:05:00,-19654905599.999996,-7840734.941951997,-3105475.0847999994,-5112240.946559999,-864815.8463999998,-139549.82975999996,0.00041289302796011437
2024-09-15 00:10:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0008261345460883475
2024-09-15 00:15:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0012393776176074065
2024-09-15 00:20:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0016526206891264654
2024-09-15 00:25:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0020658637606455247
2024-09-15 00:30:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0024791068321645834
2024-09-15 00:35:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0028923499036836425
2024-09-15 00:40:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.0033055929752027016
2024-09-15 00:45:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.003718836046721761
2024-09-15 00:50:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.004132079118240869
2024-09-15 00:55:00,-19639497599.999996,-7834588.382591997,-3103040.620799999,-5108233.325759999,-864137.8943999998,-139440.43295999995,0.004545322189759992
2024-09-15 01:00:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.004958565261279114
2024-09-15 01:05:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.005371808332798236
2024-09-15 01:10:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.005785051404317358
2024-09-15 01:15:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.0061982944758364805
2024-09-15 01:20:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.0066115375473556025
2024-09-15 01:25:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.007024780618874726
2024-09-15 01:30:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.007438023690393848
2024-09-15 01:35:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.007851266761912971
2024-09-15 01:40:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.00826450983343209
2024-09-15 01:45:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.008677752904951215
2024-09-15 01:50:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.009090995976470336
2024-09-15 01:55:00,-19639497599.999996,-7651155.475007999,-3072010.214591999,-5008071.887999998,-855496.5154559999,-138046.02863039996,0.00950423904798946
2024-09-15 02:00:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.009917482119508582
2024-09-15 02:05:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.010330725191027705
2024-09-15 02:10:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.010743968262546826
2024-09-15 02:15:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.011157211334065949
2024-09-15 02:20:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.011570454405585072
2024-09-15 02:25:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.011983697477104194
2024-09-15 02:30:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.012396940548623317
2024-09-15 02:35:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.01281018362014244
2024-09-15 02:40:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.013223426691661561
2024-09-15 02:45:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.013636669763180684
2024-09-15 02:50:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.014049912834699807
2024-09-15 02:55:00,-19639497599.999996,-7360490.910527998,-3040979.8083839994,-4857829.731359999,-846855.1365119998,-136651.62430079994,0.014463155906218932
2024-09-15 03:00:00,-19639497599.999996,-7007765.533631999,-3072010.214591999,-4707587.574719999,-855496.5154559999,-138046.02863039996,0.014876398977738053
2024-09-15 03:05:00,-19639497599.999996,-7007765.533631999,-3072010.214591999,-4707587.574719999,-855496.5154559999,-138046.02863039996,0.01528964204925714
2024-09-15 03:10:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.015800514963716907
2024-09-15 03:15:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.016311714399390515
2024-09-15 03:20:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.016822913835064124
2024-09-15 03:25:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.017334113270737733
2024-09-15 03:30:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.017845312706411348
2024-09-15 03:35:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.018356512142084953
2024-09-15 03:40:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.018867711577758565
2024-09-15 03:45:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.019378911013432174
2024-09-15 03:50:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.019890110449105783
2024-09-15 03:55:00,-24294902399.999992,-8668907.074367998,-3800208.6334079984,-5823488.105279998,-1058285.9485439998,-170768.86896959995,0.020401309884779395
2024-09-15 04:00:00,-24294902399.999992,-8082428.130431998,-3723436.7418239987,-5513728.099679998,-1036906.4344319997,-167318.99282879994,0.020912509320453004
2024-09-15 04:05:00,-24294902399.999992,-8082428.130431998,-3723436.7418239987,-5513728.099679998,-1036906.4344319997,-167318.99282879994,0.021423708756126616
2024-09-15 04:10:00,-38261116800.0,-12728708.337024001,-5863898.760768,-8683360.45776,-1632984.465024,-263504.3114016,0.022227797720621893
2024-09-15 04:15:00,-38377324800.0,-12767368.414464,-5881708.798848,-8709733.86336,-1637944.222464,-264304.6358976,0.023035303280397695
2024-09-15 04:20:00,-38444716800.0,-12789788.385024002,-5892037.296768,-8725028.477760002,-1640820.513024,-264768.7646016,0.023844230287939562
2024-09-15 04:25:00,-38444716800.0,-12789788.385024002,-5892037.296768,-8725028.477760002,-1640820.513024,-264768.7646016,0.02465316202222778
2024-09-15 04:30:00,-38444716800.0,-12789788.385024002,-5892037.296768,-8725028.477760002,-1640820.513024,-264768.7646016,0.025462093756516
2024-09-15 04:35:00,-38492236800.0,-12805597.338624,-5899320.211967999,-8735813.141760001,-1642848.6666239998,-265096.0348416,0.02627202204649261
2024-09-15 04:40:00,-38492236800.0,-12805597.338624,-5899320.211967999,-8735813.141760001,-1642848.6666239998,-265096.0348416,0.027081953669431395
2024-09-15 04:45:00,-38492236800.0,-12805597.338624,-5899320.211967999,-8735813.141760001,-1642848.6666239998,-265096.0348416,0.027891885292370164
2024-09-15 04:50:00,-38492236800.0,-12805597.338624,-5899320.211967999,-8735813.141760001,-1642848.6666239998,-265096.0348416,0.028701816915308948
2024-09-15 04:55:00,-38492236800.0,-12805597.338624,-5899320.211967999,-8735813.141760001,-1642848.6666239998,-265096.0348416,0.029511748538247725
2024-09-15 05:00:00,-38492236800.0,-11956458.594816,-5716867.009535999,-8264283.240959999,-1592038.914048,-256897.18840319998,0.0303216801611865
2024-09-15 05:05:00,-38492236800.0,-11956458.594816,-5716867.009535999,-8264283.240959999,-1592038.914048,-256897.18840319998,0.031131611784125282
2024-09-15 05:10:00,-52458451200.00001,-16294644.111744003,-7791129.172224001,-11262829.472640002,-2169681.5416320004,-350107.70330880006,0.03223443293588622
2024-09-15 05:15:00,-52690867200.0,-16366837.169664001,-7825647.596543999,-11312729.18784,-2179294.267392,-351658.8476928,0.03334310771456567
2024-09-15 05:20:00,-52825651200.0,-16408703.775744,-7845665.716223999,-11341667.31264,-2184868.933632,-352558.39610879996,0.03445462538877725
2024-09-15 05:25:00,-52825651200.0,-16408703.775744,-7845665.716223999,-11341667.31264,-2184868.933632,-352558.39610879996,0.035566152516481535
2024-09-15 05:30:00,-52825651200.0,-16408703.775744,-7845665.716223999,-11341667.31264,-2184868.933632,-352558.39610879996,0.036677679644185814
2024-09-15 05:35:00,-52920691199.999985,-16438225.100543996,-7859781.057023997,-11362072.400639996,-2188799.7880319995,-353192.6930687999,0.03779119988326789
2024-09-15 05:40:00,-52920691199.999985,-16438225.100543996,-7859781.057023997,-11362072.400639996,-2188799.7880319995,-353192.6930687999,0.038904726788274294
2024-09-15 05:45:00,-52920691199.999985,-16438225.100543996,-7859781.057023997,-11362072.400639996,-2188799.7880319995,-353192.6930687999,0.04001825369328071
