,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,H2O_sew,FD
2023-04-15 00:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.00041289302796011437
2023-04-15 00:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0008261345460883475
2023-04-15 00:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0012393776176074065
2023-04-15 00:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0016526206891264654
2023-04-15 00:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0020658637606455247
2023-04-15 00:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0024791068321645834
2023-04-15 00:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0028923499036836425
2023-04-15 00:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0033055929752027016
2023-04-15 00:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.003718836046721761
2023-04-15 00:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004132079118240869
2023-04-15 00:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004545322189759992
2023-04-15 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.004958565261279114
2023-04-15 01:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.005371808332798236
2023-04-15 01:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.005785051404317358
2023-04-15 01:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0061982944758364805
2023-04-15 01:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0066115375473556025
2023-04-15 01:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.007024780618874726
2023-04-15 01:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.007438023690393848
2023-04-15 01:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.007851266761912971
2023-04-15 01:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.00826450983343209
2023-04-15 01:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.008677752904951215
2023-04-15 01:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.009090995976470336
2023-04-15 01:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.00950423904798946
2023-04-15 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.009917482119508582
2023-04-15 02:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.010330725191027705
2023-04-15 02:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.010743968262546826
2023-04-15 02:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.011157211334065949
2023-04-15 02:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.011570454405585072
2023-04-15 02:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.011983697477104194
2023-04-15 02:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.012396940548623317
2023-04-15 02:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01281018362014244
2023-04-15 02:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.013223426691661561
2023-04-15 02:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.013636669763180684
2023-04-15 02:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.014049912834699807
2023-04-15 02:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.014463155906218932
2023-04-15 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.014876398977738053
2023-04-15 03:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01528964204925714
2023-04-15 03:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.015800514963716907
2023-04-15 03:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.016311714399390515
2023-04-15 03:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.016822913835064124
2023-04-15 03:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.017334113270737733
2023-04-15 03:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.017845312706411348
2023-04-15 03:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.018356512142084953
2023-04-15 03:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.018867711577758565
2023-04-15 03:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.019378911013432174
2023-04-15 03:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.019890110449105783
2023-04-15 03:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.020401309884779395
2023-04-15 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.020912509320453004
2023-04-15 04:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.021423708756126616
2023-04-15 04:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.022227797720621893
2023-04-15 04:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.023035303280397695
2023-04-15 04:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.023844230287939562
2023-04-15 04:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.02465316202222778
2023-04-15 04:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.025462093756516
2023-04-15 04:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.02627202204649261
2023-04-15 04:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.027081953669431395
2023-04-15 04:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.027891885292370164
2023-04-15 04:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.028701816915308948
2023-04-15 04:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.029511748538247725
2023-04-15 05:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0303216801611865
2023-04-15 05:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.031131611784125282
2023-04-15 05:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03223443293588622
2023-04-15 05:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03334310771456567
2023-04-15 05:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03445462538877725
2023-04-15 05:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.035566152516481535
2023-04-15 05:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.036677679644185814
2023-04-15 05:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03779119988326789
2023-04-15 05:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.038904726788274294
2023-04-15 05:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04001825369328071
2023-04-15 05:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04113178059828712
2023-04-15 05:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04224530750329353
2023-04-15 06:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04335883440829994
2023-04-15 06:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.044472361313306355
2023-04-15 06:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.045781147904193534
2023-04-15 06:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.047092049756491505
2023-04-15 06:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.048403804477449006
2023-04-15 06:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04971556203445432
2023-04-15 06:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05102731959145964
2023-04-15 06:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05233967508187799
2023-04-15 06:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05365203257207364
2023-04-15 06:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05496439006226929
2023-04-15 06:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05627674755246494
2023-04-15 06:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.057589105042660585
2023-04-15 07:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05890146253285623
2023-04-15 07:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06021382002305188
2023-04-15 07:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0617214371991288
2023-04-15 07:15:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06322678297966676
2023-04-15 07:20:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06473042302288562
2023-04-15 07:25:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06623405739400888
2023-04-15 07:30:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06773769176513211
2023-04-15 07:35:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0692401302694293
2023-04-15 07:40:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07074256477417187
2023-04-15 07:45:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07224499927891445
2023-04-15 07:50:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07374743378365703
2023-04-15 07:55:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07524986828839962
2023-04-15 08:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0767523027931422
2023-04-15 08:05:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07825473729788478
2023-04-15 08:10:00,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07975717180262736
2023-04-15 08:15:00,-20783724.003807504,-9687550.741383148,-14231089.8535231,-2697798.9406383457,-435326.64723936917,65502715865.03119,0.08011547361570696
2023-04-15 08:20:00,-20770073.900126763,-9691005.880803315,-14226328.46911569,-2698761.1313629486,-435481.90983356646,65611453879.405334,0.08023695026279744
2023-04-15 08:25:00,-20756582.20683348,-9694371.19285304,-14221599.1152382,-2699698.306870466,-435633.1358813705,65718161264.94779,0.0803561583932514
2023-04-15 08:30:00,-20743248.66549958,-9697649.16841301,-14216902.834519608,-2700611.160823876,-435780.43731476174,65822877572.53801,0.08047314219144322
2023-04-15 08:35:00,-20729973.196331307,-9700793.098465368,-14212171.071745692,-2701486.6856485833,-435921.7151842032,65925286450.6152,0.0805875482453854
2023-04-15 08:40:00,-20716855.70679437,-9703854.759859856,-14207474.668492347,-2702339.300214137,-436059.29617091746,66025783286.44202,0.08069981826169734
2023-04-15 08:45:00,-20703895.613525055,-9706836.383440048,-14202814.394186987,-2703169.625768114,-436193.2805216728,66124404928.40962,0.08080999340563413
2023-04-15 08:50:00,-20691091.92157515,-9709739.971876934,-14198190.719469367,-2703978.220016361,-436323.7582299128,66221186366.19719,0.08091811276590757
2023-04-15 08:55:00,-20678443.602923516,-9712567.476932425,-14193604.075756881,-2704765.6264875107,-436450.81700139365,66316161936.60273,0.08102421470186344
2023-04-15 09:00:00,-20684744.130829215,-9722974.244314635,-14201406.933446288,-2707663.7136066067,-436918.4628774296,66409365335.72634,0.08112833685709196
2023-04-15 09:05:00,-20690883.331056297,-9733180.592724424,-14209040.843523948,-2710505.987847307,-437377.1025844517,66500829630.924576,0.08123051617278267
2023-04-15 09:10:00,-20722367.985951394,-9755657.78770064,-14234242.806375934,-2716765.459866,-438387.15375110443,66677166718.774025,0.08142751108815419
