,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
2023-04-15 00:05:00,-36545099277.790634,-13336768.530436914,-7603573.35573712,-7418655.153391499,-1624064.2119050159,-262064.90692103663,0.11777978190532509
2023-04-15 00:10:00,-54722953382.291756,-19970594.607333556,-11385657.680719623,-11108759.536605228,-2431888.048309046,-392418.29870441416,0.14405905031105967
2023-04-15 00:15:00,-60384913696.12952,-22036870.404265504,-12563685.143616708,-12258137.480314292,-2683505.5646559955,-433020.2161149447,0.15800405573952697
2023-04-15 00:20:00,-54022504799.69813,-19714972.901601836,-11239922.348625192,-10966568.47433872,-2400760.1132985847,-387395.3819186353,0.1679417319172947
2023-04-15 00:25:00,-43869746880.35037,-16009825.426515065,-9127539.5359257,-8905558.616711125,-1949571.5513627704,-314589.9548789925,0.17554820207327268
2023-04-15 00:30:00,-34494246447.47266,-12588330.298540672,-7176872.915861161,-7002332.02883695,-1532924.312125685,-247358.2412748264,0.18359167094978193
2023-04-15 00:35:00,-31811152979.678234,-11609162.168403774,-6618628.4889518535,-6457664.054874682,-1413687.6384169008,-228117.7780172726,0.19137403558059193
2023-04-15 00:40:00,-30703299553.12396,-11204862.138917057,-6388128.505022971,-6232769.809284164,-1364454.6321408285,-220173.36109545187,0.19878292051700305
2023-04-15 00:45:00,-30523714728.29829,-11139324.452945178,-6350764.086369743,-6196314.089844553,-1356473.882525576,-218885.55831662702,0.20588148383993407
2023-04-15 00:50:00,-30793088791.17849,-11237629.823452678,-6406810.053892597,-6250997.024609233,-1368444.865879972,-220817.23972154091,0.21263521152761752
2023-04-15 00:55:00,-31202356304.84022,-11386987.90988839,-6491962.252785057,-6334078.329882565,-1386632.7141870994,-223752.0970620092,0.21965168995763615
2023-04-15 01:00:00,-31658670317.74309,-11516791.088188581,-6260818.642036873,-6298175.873011811,-1337262.234221468,-215785.4968857369,0.22626873983456697
2023-04-15 01:05:00,-32501736696.01713,-11823481.775277112,-6427543.449004347,-6465895.498305648,-1372873.3580397635,-221531.83732005276,0.23310051706334697
2023-04-15 01:10:00,-34725226211.54895,-12632342.791237276,-6867260.73559592,-6908236.502525548,-1466793.5551758276,-236687.14185791765,0.24006986057989974
2023-04-15 01:15:00,-40125271577.30443,-14596771.294391803,-7935173.707127723,-7982521.527588942,-1694891.4714253386,-273493.85107090697,0.24666757289793442
2023-04-15 01:20:00,-47812545025.858444,-17393247.629506785,-9455408.904313765,-9511827.707444279,-2019601.9018922604,-325890.30689625116,0.2530244665331449
2023-04-15 01:25:00,-58765483910.55128,-21377707.73698034,-11621462.09815062,-11690805.369165072,-2482254.040381686,-400545.5383343175,0.25850986818703836
2023-04-15 01:30:00,-71590462959.0438,-22320846.923048187,-12134176.3909561,-12206578.940214435,-2591765.8310780018,-418216.7591057685,0.2627891802393411
2023-04-15 01:35:00,-104371200000.00002,-24705842.227199998,-13430720.1024,-13510858.905599998,-2868697.4975999994,-462903.45983999997,0.26543253286499663
2023-04-15 01:40:00,-100693961412.60223,-24438301.05653528,-13285277.961791242,-13364548.936684614,-2837632.186013663,-457890.6481976593,0.26715454361081914
2023-04-15 01:45:00,-104371200000.00002,-24705842.227199998,-13430720.1024,-13510858.905599998,-2868697.4975999994,-462903.45983999997,0.26846754388279276
2023-04-15 01:50:00,-104371200000.00002,-24705842.227199998,-13430720.1024,-13510858.905599998,-2868697.4975999994,-462903.45983999997,0.2695080781554649
2023-04-15 01:55:00,-104371200000.00002,-24705842.227199998,-13430720.1024,-13510858.905599998,-2868697.4975999994,-462903.45983999997,0.27034264029107624
2023-04-15 02:00:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2711206761110358
2023-04-15 02:05:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2718776549113837
2023-04-15 02:10:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2726107262392102
2023-04-15 02:15:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.27334189455814395
2023-04-15 02:20:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2740415513350343
2023-04-15 02:25:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.27470651582116123
2023-04-15 02:30:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2752703141076146
2023-04-15 02:35:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2756338457553536
2023-04-15 02:40:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2757322322180321
2023-04-15 02:45:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.27548561480040995
2023-04-15 02:50:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.2748269503269598
2023-04-15 02:55:00,-104371200000.00002,-23201335.449599996,-12604383.897599999,-12685097.779199999,-2692198.5024,-434422.94015999994,0.27365115168122306
2023-04-15 03:00:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.27152857078075743
2023-04-15 03:05:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.26885752485782316
2023-04-15 03:10:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.2656478044976744
2023-04-15 03:15:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.2619452243287937
2023-04-15 03:20:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.2578101045418952
2023-04-15 03:25:00,-104371200000.00002,-20710712.2752,-12221378.150400002,-11667040.761600003,-2610391.4496,-421222.25664000004,0.25331953446189154
