#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part\H2O_sew
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
182.00347222222223	-37449555873.87085	-1664258.2337411372	-268550.7604445926	-7791754.457969871	-7602259.708583504	-13666840.680051545	37449555214.69707
182.00694444444446	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.1712	-9151954.56	-16452779.7888	45083520000.00001
182.01041666666666	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.171200002	-9151954.56	-16452779.788800005	45083520000.00001
182.01388888888889	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.1712	-9151954.56	-16452779.788800005	45083520000.00001
182.01736111111111	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.171200002	-9151954.559999997	-16452779.788800005	45083520000.00001
182.02083333333334	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.171200002	-9151954.56	-16452779.7888	45083520000.00001
182.02430555555554	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.1712	-9151954.559999997	-16452779.7888	45083520000.00001
182.02777777777777	-30661537170.410156	-1362598.663467761	-219873.87524138868	-6379439.19714452	-6224291.824571455	-11189620.97763107	30661536081.6328
182.03125	-30534114646.91162	-1356936.036918453	-218960.13323002303	-6352927.80920912	-6198425.191144147	-11143119.651508106	30534114242.089405
182.03472222222223	-30821643161.77368	-1369713.8343136352	-221022.0050824275	-6412751.133377474	-6256793.617589287	-11248050.555679971	30821643436.40044
182.03819444444446	-31233689689.63623	-1388025.2082628517	-223976.79496968733	-6498481.656866985	-6340439.182658839	-11398423.031130623	31233690554.96965
182.04166666666666	-31698800182.34253	-1400098.0033689986	-225924.9050890884	-6555004.28850031	-6418991.555923535	-11563627.049155775	31698799315.009624
182.04513888888889	-32598356437.683105	-1432533.15218449	-231158.75864795176	-6706859.757954656	-6587684.754729517	-11887935.14086314	32598356345.3923
182.04861111111111	-34973862361.90796	-1530860.1126160517	-247025.15453577196	-7167208.709066059	-7056550.386142795	-12751034.499110395	34973862142.19961
182.05208333333334	-40724206066.13159	-1776828.630252967	-286715.52897263784	-8318788.587093436	-8206196.587442265	-14844515.08090862	40724205005.853096
182.05555555555554	-45083518409.729004	-1961295.2510096028	-316481.73368564044	-9182427.766090415	-9074046.153714083	-16430520.244146876	45083520000.00001
182.05902777777777	-45083518409.729004	-1956547.8576988229	-315715.67703776463	-9160201.333771763	-9065285.055149645	-16428017.073128466	45083520000.00001
182.0625	-45083518409.729004	-1952350.806423924	-315038.4255820423	-9140551.50280292	-9057539.587796876	-16425804.082456246	45083520000.00001
182.06597222222223	-45083518409.729004	-1948607.220945673	-314434.34701623366	-9123024.716245657	-9050630.970959742	-16423830.19193135	45083520000.00001
182.06944444444446	-45083518409.729004	-1945262.3741345569	-313894.61037171265	-9107364.751629977	-9044458.208208315	-16422066.545430942	45083520000.00001
182.07291666666666	-45083518409.729004	-1942260.6072675704	-313410.2343545398	-9093311.024934536	-9038918.583899245	-16420483.795628348	45083520000.00001
182.07638888888889	-45083518409.729004	-1939563.4509962285	-312975.01141075505	-9080683.42966416	-9033941.104598492	-16419061.658685278	45083520000.00001
182.07986111111111	-45083518409.729004	-1937140.232376678	-312583.99204260035	-9069338.360672629	-9029469.164782414	-16417783.961594967	45083520000.00001
182.08333333333334	-45083518409.729004	-1932323.582264152	-311806.7598653519	-9046787.680600349	-9013282.539339436	-16394645.299899628	45083520000.00001
182.08680555555554	-45083518409.729004	-1927976.5554874048	-311105.3078172858	-9026435.691600123	-8998674.109708473	-16373762.657478465	45083520000.00001
182.09027777777777	-45083518409.729004	-1924039.9362077727	-310470.0806153452	-9008005.155881848	-8985444.877710637	-16354851.567902356	45083520000.00001
182.09375	-45083518409.729004	-1920464.593731545	-309893.15035213565	-8991266.052470416	-8973429.736867713	-16337676.012678346	45083520000.00001
182.09722222222223	-45083518409.729004	-1917212.9536952311	-309368.45389173046	-8976042.465027673	-8962502.416403571	-16322055.488663193	45083520000.00001
182.10069444444446	-45083518409.729004	-1914248.588821944	-308890.11319626827	-8962163.847666375	-8952540.500391562	-16307815.003192564	45083520000.00001
182.10416666666666	-45083518409.729004	-1911538.5019830517	-308452.8037290833	-8949475.713829743	-8943433.10011247	-16294796.041660134	45083520000.00001
182.10763888888889	-45083518409.729004	-1909055.724296237	-308052.17369325645	-8937851.800114203	-8935089.585110178	-16282869.048497284	45083520000.00001
182.11111111111111	-45083518409.729004	-1906778.3173464728	-307684.68302636273	-8927189.3948494	-8927436.230098737	-16271928.633951465	45083520000.00001
182.11458333333334	-45083518409.729004	-1904691.9798439783	-307348.0240202783	-8917421.541996809	-8920424.97478403	-16261906.09618668	45083520000.00001
182.11805555555554	-45083518409.729004	-1902783.937321344	-307040.1353404895	-8908488.433822654	-8914012.889844988	-16252740.068055067	45083520000.00001
