;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
182,00347222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,00694444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,01041666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,01388888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,01736111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,02083333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,02430555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,02777777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,03125;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,03472222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,03819444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,04166666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,04513888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,04861111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,05208333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,05555555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,05902777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,0625;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,06597222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,06944444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,07291666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,07638888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,07986111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,08333333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,08680555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,09027777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,09375;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,09722222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,10069444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,10416666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,10763888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,11111111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,11458333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,11805555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,12152777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,125;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,12847222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,13194444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,13541666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,13888888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,14236111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,14583333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,14930555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,15277777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,15625;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,15972222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,16319444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,16666666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,17013888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,17361111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,17708333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,18055555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,18402777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,1875;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,19097222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,19444444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,19791666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,20138888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,20486111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,20833333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,21180555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,21527777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,21875;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,22222222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,22569444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,22916666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,23263888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,23611111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,23958333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,24305555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,24652777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,25;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,25347222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,25694444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,26041666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,26388888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,26736111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,27083333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,27430555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,27777777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,28125;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,28472222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,28819444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,29166666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,29513888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,29861111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,30208333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,30555555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,30902777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,3125;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,31597222222223;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,31944444444446;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,32291666666666;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,32638888888889;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,32986111111111;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,33333333333334;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,33680555555554;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,34027777777777;-0,0;-0,0;-0,0;-0,0;-0,0;-0,0;0,0
182,34375;-65502716445,92285;-2687199,2278611683;-433616,2390412342;-9649488,136410562;-14307317,339428317;-20898014,09468529;65502715865,03119
182,34722222222223;-65611455345,15381;-2687598,530576426;-433680,6719793781;-9650921,996160803;-14305509,354661234;-20889338,670314804;65611453879,40533
182,35069444444446;-65718160057,06787;-2687796,9362726174;-433712,6874439909;-9651634,45297895;-14303683,912256556;-20881403,743725907;65718161264,94779
182,35416666666666;-65822876930,23682;-2687798,051103378;-433712,8673371364;-9651638,456234865;-14301842,85277078;-20874199,39592888;65822877572,53801
182,35763888888889;-65925286674,49951;-2687592,087903407;-433679,6323662319;-9650898,861107694;-14299917,235396149;-20867613,597339418;65925286450,6152
