;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
181,00347222222223;-37449555873,87085;-1664258,2337411372;-268550,76044459257;-7791754,457969871;-7602259,708583504;-13666840,680051545;37449555214,69707
181,00694444444446;-65372353363,03711;-2905147,2988782017;-468785,1323189826;-13601371,444747947;-13270587,346360823;-23856985,94177793;65372351459,90555
181,01041666666666;-58864107513,427734;-2615921,036036003;-422114,53081490047;-12247266,668714017;-11949414,273521796;-21481868,20186721;58864109721,78225
181,01388888888889;-47239437675,476074;-2099320,6394185717;-338754,01226981485;-9828637,539096037;-9589605,981142435;-17239560,62442424;47239438330,75093
181,01736111111111;-39138415431,97632;-1739311,1874696554;-280661,577978058;-8143138,741335207;-7945098,358603512;-14283173,374328893;39138415559,62322
181,02083333333334;-34230814933,776855;-1521217,4225590888;-245469,17500385293;-7122063,387435736;-6948855,463084947;-12492193,658611923;34230815089,088413
181,02430555555554;-31688062763,21411;-1408217,5377030112;-227235,10267480407;-6593018,471973191;-6432676,871145621;-11564241,858895972;31688063404,658222
181,02777777777777;-30667196846,0083;-1362850,178139203;-219914,4605633714;-6380616,743106269;-6225440,732724084;-11191686,408868603;30667195727,70484
181,03125;-30534021949,768066;-1356931,9050982022;-218959,4665044826;-6352908,4647779465;-6198406,317167755;-11143085,721119212;30534021266,836227
181,03472222222223;-30821609687,805176;-1369712,3575628106;-221021,76678854445;-6412744,219498615;-6256786,871855323;-11248038,428644735;30821610206,18386
181,03819444444446;-31233674240,112305;-1388024,4878055374;-223976,67871407533;-6498478,283816834;-6340435,8916409565;-11398417,114755914;31233674343,0589
181,04166666666666;-31698779582,977295;-1400037,1445657911;-225915,08469129808;-6554719,358648932;-6418876,829933915;-11563588,146533988;31698779363,98464
181,04513888888889;-32598328113,55591;-1432430,6924297076;-231142,2253693392;-6706380,060011813;-6587492,159248152;-11887871,207225574;32598327328,78587
181,04861111111111;-34973841762,542725;-1530725,6882280246;-247003,463327704;-7166579,358522117;-7056299,8521022005;-12750956,677214632;34973841810,0783
181,05208333333334;-40724257564,54468;-1776657,7460671638;-286687,9544790196;-8317988,538405358;-8205887,568785318;-14844442,874964032;40724257410,558426
181,05555555555554;-52803717613,220215;-2296912,332264296;-370638,1263426478;-10753725,919237388;-10627463,631165268;-19243991,62094831;52803718774,40342
181,05902777777777;-68740828514,09912;-2982865,862586134;-481326,0823718535;-13965235,62938054;-13821558,815300643;-25048326,937945902;68740829261,66122
181,0625;-81193077850,3418;-3515451,870901525;-567266,0973500188;-16458706,486493507;-16310994,880823404;-29581687,93080604;81193079035,4539
181,06597222222223;-90593546676,63574;-3914559,529940041;-631667,560513052;-18327255,981082924;-18184873,54341926;-33002460,96659804;90593545355,2336
181,06944444444446;-97024977493,28613;-4184680,054681232;-675255,1906417443;-19591911,165098496;-19461494,239065588;-35341272,08113097;97024972814,50336
181,07291666666666;-101121902847,29004;-4353891,278998751;-702559,7291111621;-20384127,35167597;-20269444,86760885;-36829625,89531846;101121899827,79865
181,07638888888889;-103389965057,37305;-4444478,131870853;-717177,1530973424;-20808238,52648627;-20711027,988162063;-37651953,775074616;103389969398,0202
181,07986111111111;-104430696487,42676;-4482648,847683312;-723336,5186034438;-20986946,87779005;-20907385,42965621;-38027495,73892427;104430693440,85744
181,08333333333334;-104857762527,46582;-4487146,071735834;-724062,2070301004;-21008002,06312685;-20945815,69595962;-38114916,13285768;104857760319,55878
181,08680555555554;-105185014343,26172;-4488422,596570034;-724268,1917192554;-21013978,520305157;-20967882,40335001;-38171226,490136005;105185016403,2694
181,09027777777777;-105595415496,82617;-4494220,659462467;-725203,7882314436;-21041123,99657427;-21009836,081807613;-38262501,9880354;105595418558,1303
