;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
182,00347222222223;-36545099544,52515;-864815,8463999998;-139549,82975999996;-3105475,0847999994;-5112240,946559999;-7840734,941951997;-19654905600,0
182,00694444444446;-54722955322,265625;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,01041666666666;-60384912300,10986;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,01388888888889;-54022504806,518555;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,01736111111111;-43869747161,865234;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,02083333333334;-34494247341,156006;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,02430555555554;-31811151695,251465;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,02777777777777;-30703297233,581543;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,03125;-30523711967,46826;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,03472222222223;-30793082141,87622;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,03819444444446;-31202340030,670166;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;-19639497600,0
182,04166666666666;-31658633995,056152;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,04513888888889;-32501657867,43164;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,04861111111111;-34725050354,00391;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,05208333333334;-40124872684,47876;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,05555555555554;-47811064910,88867;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,05902777777777;-58748818016,052246;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,0625;-71584910774,23096;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,06597222222223;-74000006103,51562;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,06944444444446;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,07291666666666;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,07638888888889;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,07986111111111;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;-19639497600,0
182,08333333333334;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,08680555555554;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,09027777777777;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,09375;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,09722222222223;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,10069444444446;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,10416666666666;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,10763888888889;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,11111111111111;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,11458333333334;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,11805555555554;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,12152777777777;-104371195220,94727;-846855,1365119998;-136651,62430079994;-3040979,8083839994;-4857829,731359999;-7360490,910527998;-19639497600,0
182,125;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-4707587,574719999;-7007765,533631999;-19639497600,0
182,12847222222223;-104371195220,94727;-855496,5154559999;-138046,02863039996;-3072010,214591999;-4707587,574719999;-7007765,533631999;-19639497600,0
182,13194444444446;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,13541666666666;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,13888888888889;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,14236111111111;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,14583333333334;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,14930555555554;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,15277777777777;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,15625;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,15972222222223;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,16319444444446;-104371195220,94727;-1058285,9485439998;-170768,86896959995;-3800208,6334079984;-5823488,105279998;-8668907,074367998;-24294902399,999992
182,16666666666666;-104371195220,94727;-1036906,4344319996;-167318,99282879994;-3723436,741823999;-5513728,099679998;-8082428,130431998;-24294902399,999992
182,17013888888889;-104371195220,94727;-1036906,4344319996;-167318,99282879994;-3723436,741823999;-5513728,099679998;-8082428,130431998;-24294902399,999992
182,17361111111111;-104371195220,94727;-1632984,465024;-263504,3114016;-5863898,760768;-8683360,45776;-12728708,337024;-38261116800,0
182,17708333333334;-104371195220,94727;-1637944,222464;-264304,6358976;-5881708,798848;-8709733,86336;-12767368,414464;-38377324800,0
182,18055555555554;-104371195220,94727;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;-38444716800,0
182,18402777777777;-104371195220,94727;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;-38444716800,0
182,1875;-104371195220,94727;-1640820,513024;-264768,7646016;-5892037,296768;-8725028,477760002;-12789788,385024002;-38444716800,0
182,19097222222223;-90597748947,14355;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;-38492236800,0
182,19444444444446;-73997920417,78564;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;-38492236800,0
182,19791666666666;-73988176918,02979;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;-38492236800,0
182,20138888888889;-72585514640,8081;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;-38492236800,0
182,20486111111111;-70344370651,24512;-1642848,6666239998;-265096,0348416;-5899320,211967999;-8735813,141760001;-12805597,338624;-38492236800,0
182,20833333333334;-67983781242,370605;-1592038,914048;-256897,1884032;-5716867,009535999;-8264283,240959999;-11956458,594816;-38492236800,0
182,21180555555554;-65675632667,541504;-1592038,914048;-256897,1884032;-5716867,009535999;-8264283,240959999;-11956458,594816;-38492236800,0
182,21527777777777;-63457065582,27539;-2169681,5416320004;-350107,70330880006;-7791129,172224001;-11262829,472640002;-16294644,111744003;-52458451200,00001
182,21875;-61334857177,734375;-2179294,267392;-351658,8476928;-7825647,596543999;-11312729,18784;-16366837,169664;-52690867200,0
182,22222222222223;-59304614639,28223;-2184868,933632;-352558,3961088;-7845665,716223999;-11341667,31264;-16408703,775744;-52825651200,0
182,22569444444446;-57364880561,82861;-2184868,933632;-352558,3961088;-7845665,716223999;-11341667,31264;-16408703,775744;-52825651200,0
182,22916666666666;-55509495735,16846;-2184868,933632;-352558,3961088;-7845665,716223999;-11341667,31264;-16408703,775744;-52825651200,0
182,23263888888889;-53733624458,31299;-2188799,7880319995;-353192,6930687999;-7859781,057023997;-11362072,400639996;-16438225,100543996;-52920691199,99999
182,23611111111111;-52033682441,711426;-2188799,7880319995;-353192,6930687999;-7859781,057023997;-11362072,400639996;-16438225,100543996;-52920691199,99999
182,23958333333334;-50406327438,35449;-2188799,7880319995;-353192,6930687999;-7859781,057023997;-11362072,400639996;-16438225,100543996;-52920691199,99999
182,24305555555554;-48847753715,51514;-2188799,7880319995;-353192,6930687999;-7859781,057023997;-11362072,400639996;-16438225,100543996;-52920691199,99999
182,24652777777777;-46643034553,52783;-2188799,7880319995;-353192,6930687999;-7859781,057023997;-11362072,400639996;-16438225,100543996;-52920691199,99999
