#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
104.00347222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0004128930279601	0.0
104.00694444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000793992670912	0.0
104.01041666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0005965401140807	0.0
104.01388888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007044353714246	0.0
104.01736111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006435857840928	0.0
104.02083333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006791618222899	0.0
104.02430555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006584895789285	0.0
104.02777777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006699592107434	0.0
104.03125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006653579049701	0.0
104.03472222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006607565991969	0.0
104.03819444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006641907622177	0.0
104.04166666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006676249252385	0.0
104.04513888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006630236194652	0.0
104.04861111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006664577824861	0.0
104.05208333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006618564767128	0.0
104.05555555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006652906397336	0.0
104.05902777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006606893339603	0.0
104.0625	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006641234969812	0.0
104.06597222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000667557660002	0.0
104.06944444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006629563542287	0.0
104.07291666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006663905172495	0.0
104.07638888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006617892114763	0.0
104.07986111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006652233744971	0.0
104.08333333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006686575375179	0.0
104.08680555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006640562317447	0.0
104.09027777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006674903947655	0.0
104.09375	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006628890889922	0.0
104.09722222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000666323252013	0.0
104.10069444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006617219462398	0.0
104.10416666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006651561092606	0.0
104.10763888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006685902722814	0.0
104.11111111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006639889665081	0.0
104.11458333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000667423129529	0.0
104.11805555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006628218237557	0.0
104.12152777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006662559867765	0.0
104.125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006616546810033	0.0
104.12847222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006650888440241	0.0
104.13194444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007018690996329	0.0
104.13541666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006746921261028	0.0
104.13888888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006957279653373	0.0
104.14236111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006846219293954	0.0
104.14583333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006895868310417	0.0
104.14930555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006865162638939	0.0
104.15277777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006914811655402	0.0
104.15625	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006884105983925	0.0
104.15972222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006853400312447	0.0
104.16319444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000690304932891	0.0
104.16666666666667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006872343657432	0.0
104.17013888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006921992673895	0.0
104.17361111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006043511957417	0.0
104.17708333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007770547207848	0.0
104.18055555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0004208387531843	0.0
104.18402777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0011494157995315	0.0
104.1875	-57283198928.83301	-2484827.087757923	-400960.7346154832	-8922788.178767093	-14050239.369098302	-21161253.764478687	0.000757044949104	57283.19892883301
104.19097222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0004701317486883	0.0
104.19444444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0010470347765987	0.0
104.19791666666667	-57283198928.83301	-2481187.196387858	-400373.3885080408	-8909717.659756405	-13954661.33941472	-20969674.855225712	0.0006556638148221	57283.19892883301
104.20138888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006821372303378	0.0
104.20486111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006162027547216	0.0
104.20833333333333	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0007511549989574	0.0
104.21180555555556	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.000476298334695	0.0
104.21527777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0006309341687539	0.0
104.21875	-57283198928.83301	-2465415.2047204995	-397828.3625798989	-8853081.871496344	-13696002.780825498	-20472477.023918264	0.000538306362718	57283.19892883301
104.22222222222223	-57283198928.83301	-2461948.824065496	-397269.014792387	-8840634.413689742	-13644612.159194974	-20374888.091880683	0.0004445037178171	57283.19892883301
104.22569444444444	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0009734593579504	0.0
104.22916666666667	-57283198928.83301	-2455479.4003543323	-396225.0850571766	-8817403.301272385	-13548700.100134728	-20192754.560192578	0.0008836839009392	57283.19892883301
104.23263888888889	-57283198928.83301	-2452456.2732470427	-395737.2622739549	-8806547.526659843	-13503880.907791412	-20107644.534728844	0.0007918838209083	57283.19892883301
104.23611111111111	-57283198928.83301	-2449530.6599753723	-395265.1746778445	-8796041.915366117	-13460507.401057618	-20025279.81395727	0.0007000904068018	57283.19892883301
104.23958333333333	-57283198928.83301	-2446699.689403242	-394808.3589718871	-8785876.157402558	-13418537.01407501	-19945579.566852182	0.0006082969926953	57283.19892883301
104.24305555555556	-57283198928.83301	-2443960.566808128	-394366.3641894937	-8776040.217174647	-13377928.313849894	-19868465.11365692	0.0005165035785888	57283.19892883301
104.24652777777777	-57283198928.83301	-2441310.572064796	-393938.75140136527	-8766524.326959958	-13338640.973326324	-19793859.87475055	0.0004247101644822	57283.19892883301
104.25	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0012047651145337	0.0
104.25347222222223	-57283198928.83301	-2432897.059192992	-392581.1163697786	-8736312.167102112	-13225106.729114406	-19580975.18229581	0.0011169894348243	57283.19892883301
104.25694444444444	-57283198928.83301	-2428304.716199121	-391840.0792048586	-8719821.48089685	-13163136.39651787	-19464776.450470846	0.001220455706599	57283.19892883301
104.26041666666667	-57283198928.83301	-2423906.590207116	-391130.3816016032	-8704028.210289191	-13103786.881272633	-19353491.93549458	0.0013260372397846	57283.19892883301
104.26388888888889	-57283198928.83301	-2419696.141934257	-390450.9683575738	-8688908.873309381	-13046969.940508887	-19246956.17578025	0.0014324716416298	57283.19892883301
104.26736111111111	-57283198928.83301	-2415667.4955052948	-389800.891320173	-8674442.370223561	-12992606.283558631	-19145020.495749056	0.0015389088795228	57283.19892883301
104.27083333333333	-57283198928.83301	-2411812.239055547	-389178.79312032735	-8660598.494790373	-12940582.398418795	-19047472.05241224	0.0016453461174159	57283.19892883301
104.27430555555556	-57283198928.83301	-2408120.755195307	-388583.12186106143	-8647342.711837696	-12890768.50540185	-18954067.49972863	0.0017523812887221	57283.19892883301
104.27777777777777	-57283198928.83301	-2404587.258110496	-388012.943922376	-8634654.245033147	-12843086.529149886	-18864660.440911327	0.0018594184598056	57283.19892883301
104.28125	-57283198928.83301	-2401204.499848204	-387467.0897482334	-8622507.067636736	-12797438.66380365	-18779067.4830958	0.0019664556308892	57283.19892883301
104.28472222222223	-57283198928.83301	-2397965.5871452303	-386944.4470166171	-8610876.426566964	-12753731.889783865	-18697114.208029084	0.0020734928019727	57283.19892883301
104.28819444444444	-57283198928.83301	-2394863.962992536	-386443.9576647049	-8599738.776200468	-12711877.72501688	-18618634.70560039	0.0021805299730562	57283.19892883301
104.29166666666667	-57283198928.83301	-2388939.4654476084	-385487.959197228	-8578464.444107318	-12654672.65892572	-18517422.8961807	0.0022875671441397	57283.19892883301
104.29513888888889	-57283198928.83301	-2383264.495764196	-384572.22545285913	-8558086.143880522	-12599876.95459078	-18420473.92359621	0.0023946043152232	57283.19892883301
104.29861111111111	-57283198928.83301	-2377052.179278654	-383569.7834745105	-8535778.280136988	-12539892.80024863	-18314345.127454206	0.002696901172188	57283.19892883301
104.30208333333333	-57283198928.83301	-2371178.790197479	-382622.0320545936	-8514687.473890949	-12483181.221246388	-18214006.435130738	0.0029969266336141	57283.19892883301
104.30555555555556	-57283198928.83301	-2365617.850670264	-381724.6986308837	-8494718.645588676	-12429486.555872496	-18119005.509338327	0.003295246357721	57283.19892883301
104.30902777777777	-57283198928.83301	-2360344.031912676	-380873.6960586367	-8475780.841868246	-12378564.23743236	-18028909.64298693	0.0035935604097323	57283.19892883301
104.3125	-57283198928.83301	-2355340.201618322	-380066.2598065932	-8457812.542174885	-12330248.841818342	-17943426.154424395	0.0038918744617436	57283.19892883301
104.31597222222223	-57283198928.83301	-2350594.014957895	-379300.3978682061	-8440769.417348806	-12284421.17128058	-17862344.14939314	0.0041889926469284	57283.19892883301
104.31944444444444	-57283198928.83301	-2346086.452993453	-378573.0412784894	-8424583.172112854	-12240897.584996592	-17785338.715762205	0.0044861068325587	57283.19892883301
104.32291666666667	-57283198928.83301	-2341803.6526118424	-377881.9530350932	-8409204.025287978	-12199544.225150056	-17712173.02150391	0.0047832210181889	57283.19892883301
104.32638888888889	-57283198928.83301	-2337732.6627117614	-377225.0433012165	-8394585.470646778	-12160236.040021343	-17642625.81504599	0.0050803352038192	57283.19892883301
104.32986111111111	-57283198928.83301	-2333861.377304573	-376600.3586105111	-8380684.036684602	-12122856.138030237	-17576490.282391902	0.0053774493894494	57283.19892883301
