#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
104.00347222222223	-37449555873.87085	-1664258.2337411372	-268550.76044459257	-7791754.457969871	-7602259.708583504	-13666840.680051545	0.117782902980488	37449.55587387085
104.00694444444444	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.171200002	-9151954.56	-16452779.7888	0.1439439718281624	45083.518409729004
104.01041666666667	-45083518409.729004	-2003511.6288	-323293.92191999994	-9380077.1712	-9151954.56	-16452779.788799996	0.1591219071257631	45083.518409729004
104.01388888888889	-45083518409.729004	-2003511.6288	-323293.92192	-9380077.1712	-9151954.56	-16452779.7888	0.1701815654485196	45083.518409729004
104.01736111111111	-45083518409.729004	-2003511.6288	-323293.92192	-9380077.1712	-9151954.56	-16452779.7888	0.1783117610509811	45083.518409729004
104.02083333333333	-45083518409.729004	-2003511.6288000003	-323293.92192	-9380077.171200002	-9151954.56	-16452779.788800005	0.185626665600246	45083.518409729004
104.02430555555556	-45083518409.729004	-2003511.6288000003	-323293.92191999994	-9380077.171200002	-9151954.56	-16452779.7888	0.1923217102580728	45083.518409729004
104.02777777777777	-30661467647.55249	-1362595.6413844738	-219873.38758704	-6379425.048300033	-6224278.019825564	-11189596.160370158	0.1987974548653567	30661.46764755249
104.03125	-30533960151.672363	-1356929.1983098448	-218959.02972727036	-6352895.792086999	-6198393.952675482	-11143063.493051184	0.2058950554303398	30533.960151672363
104.03472222222223	-30821326446.533203	-1275585.6007824906	-205833.13103535635	-5972059.858208932	-5826819.913565381	-10475072.213086452	0.2126493713796788	30821.326446533203
104.03819444444444	-31233136081.695557	-1221269.9615106622	-197068.56197103864	-5717763.910709008	-5578708.420041953	-10029033.747833058	0.2196647462209557	31233.136081695557
