;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;FD
2023-07-01 00:05:00;-37449555873,87085;-864815,8463999998;-139549,82975999996;-3105475,0847999994;-5112240,946559999;-7840734,941951997;0,0004128930279601
2023-07-01 00:10:00;-65372353363,03711;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,000793992670912
2023-07-01 00:15:00;-58864107513,427734;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0005965401140807
2023-07-01 00:20:00;-47239437675,476074;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0007044353714246
2023-07-01 00:25:00;-39138415431,97632;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006435857840928
2023-07-01 00:30:00;-34230814933,776855;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006791618222899
2023-07-01 00:35:00;-31688062763,21411;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006584895789285
2023-07-01 00:40:00;-30667196846,0083;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006699592107434
2023-07-01 00:45:00;-30534021949,768066;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006653579049701
2023-07-01 00:50:00;-30821609687,805176;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006607565991969
2023-07-01 00:55:00;-31233674240,112305;-864137,8943999998;-139440,43295999995;-3103040,620799999;-5108233,325759999;-7834588,382591997;0,0006641907622177
2023-07-01 01:00:00;-31698779582,977295;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006676249252385
2023-07-01 01:05:00;-32598328113,55591;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006630236194652
2023-07-01 01:10:00;-34973841762,542725;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006664577824861
2023-07-01 01:15:00;-40724257564,54468;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006618564767128
2023-07-01 01:20:00;-52803717613,220215;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006652906397336
2023-07-01 01:25:00;-68740828514,09912;-855496,5154559999;-138046,02863039996;-3072010,214591999;-5008071,887999998;-7651155,475007999;0,0006606893339603
