#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.00347222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.00694444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.01041666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.01388888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.01736111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.02083333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.02430555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.02777777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.03125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.03472222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.03819444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.04166666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.04513888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.04861111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.05208333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.05555555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.05902777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.0625	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.06597222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.06944444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.07291666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.07638888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.07986111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.08333333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.08680555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.09027777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.09375	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.09722222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.10069444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.10416666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.10763888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.11111111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
