;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;H2O_sew2
182,00347222222223;-36545099544,52515;-1624064,2119050156;-262064,90692103663;-7603573,35573712;-7418655,1533915;-13336768,530436913;36545099277,79064
182,00694444444446;-54722955322,265625;-2431888,0483090454;-392418,29870441416;-11385657,68071962;-11108759,536605226;-19970594,607333552;54722953382,29176
182,01041666666666;-60384912300,10986;-2683505,564655996;-433020,2161149447;-12563685,143616706;-12258137,480314292;-22036870,404265508;60384913696,12951
182,01388888888889;-54022504806,518555;-2400760,1132976566;-387395,3819184855;-11239922,348620849;-10966568,474334482;-19714972,90159421;54022504799,677246
182,01736111111111;-43869747161,865234;-1949571,5512814133;-314589,9548658644;-9127539,535544798;-8905558,616339488;-16009825,42584696;43869746878,519646
182,02083333333334;-34494247341,156006;-1532924,3096082597;-247358,2408686055;-7176872,904075034;-7002332,017337458;-12588330,277867649;34494246390,82493
182,02430555555554;-31811151695,251465;-1413687,6252744824;-228117,77589656416;-6618628,42742144;-6457663,994840682;-11609162,060478613;31811152683,94425
182,02777777777777;-30703297233,581543;-1364454,5859265854;-220173,3536381536;-6388128,288656289;-6232769,598179498;-11204861,759407025;30703298513,1995
182,03125;-30523711967,46826;-1356473,7469920593;-218885,5364464459;-6350763,45182646;-6196313,470733304;-11139323,33994784;30523711678,489185
182,03472222222223;-30793082141,87622;-1368444,5136244188;-220817,18288030388;-6406808,404696142;-6250995,4155210825;-11237626,930740217;30793080864,63588
182,03819444444446;-31202340030,670166;-1386631,9502068914;-223751,97378338472;-6491958,675968628;-6334074,840053982;-11386981,636104926;31202339113,566418
182,04166666666666;-31658633995,056152;-1398244,7163999234;-225625,85196453307;-6546327,535872367;-6410711,996118173;-11548933,418687794;31658634976,85831
182,04513888888889;-32501657867,43164;-1428150,780718144;-230451,6032522459;-6686342,291544037;-6567897,927163524;-11852601,118626896;32501657827,98929
182,04861111111111;-34725050354,00391;-1519795,0238758894;-245239,65157997303;-7115403,975418938;-7006027,106015717;-12660229,18589636;34725051005,42828
182,05208333333334;-40124872684,47876;-1750457,1540450605;-282460,1316754529;-8195322,130301876;-8085017,097652599;-14625933,027111618;40124871773,20656
182,05555555555554;-47811064910,88867;-2079675,348234453;-335583,97664692305;-9736661,857643122;-9622511,316391611;-17424416,88271349;47811063840,40214
