#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.00347222222223	-36545099544.52515	-1624064.2119050156	-262064.90692103657	-7603573.35573712	-7418655.1533915	-13336768.530436913	36545099277.79064
181.00694444444446	-54722955322.265625	-2431888.0483090454	-392418.29870441416	-11385657.68071962	-11108759.536605228	-19970594.607333552	54722953382.29176
181.01041666666666	-60384912300.10986	-2683505.564655995	-433020.2161149447	-12563685.143616708	-12258137.480314292	-22036870.4042655	60384913696.12951
181.01388888888889	-54022504806.518555	-2400760.1132985847	-387395.3819186353	-11239922.348625196	-10966568.47433872	-19714972.90160184	54022504799.69813
181.01736111111111	-43869747161.865234	-1949571.5513627704	-314589.9548789925	-9127539.5359257	-8905558.616711125	-16009825.426515069	43869746880.35037
181.02083333333334	-34494247341.156006	-1532924.312125685	-247358.24127482643	-7176872.915861161	-7002332.02883695	-12588330.298540672	34494246447.47266
181.02430555555554	-31811151695.251465	-1413687.638416901	-228117.77801727265	-6618628.4889518535	-6457664.054874682	-11609162.168403776	31811152979.67824
181.02777777777777	-30703299808.502197	-1364454.6321408288	-220173.36109545192	-6388128.50502297	-6232769.809284164	-11204862.138917057	30703299553.12396
181.03125	-30523714542.388916	-1356473.8825255758	-218885.55831662705	-6350764.086369741	-6196314.089844552	-11139324.452945177	30523714728.298286
181.03472222222223	-30793089866.638184	-1368444.8658799725	-220817.23972154091	-6406810.053892597	-6250997.024609234	-11237629.82345268	30793088791.178493
181.03819444444446	-31202355480.19409	-1386632.7141870996	-223752.0970620092	-6491962.252785056	-6334078.329882565	-11386987.90988839	31202356304.840218
181.04166666666666	-31658670043.945312	-1398246.2824808531	-225626.10467304676	-6546334.867978539	-6410719.16207231	-11548946.313634437	31658670317.74309
181.04513888888889	-32501737689.971924	-1428154.2195608416	-230452.15815640852	-6686358.391580303	-6567913.815476363	-11852629.865897316	32501736696.01713
181.04861111111111	-34725225448.6084	-1519802.656091761	-245240.8831420796	-7115439.708065972	-7006062.388761315	-12660293.044447497	34725226211.54895
181.05208333333334	-40125271797.180176	-1750474.5587739593	-282462.94016579795	-8195403.616078081	-8085097.588786849	-14626078.740448346	40125271577.30443
181.05555555555554	-47812542915.34424	-2079739.7334025768	-335594.36607177946	-9736963.297293885	-9622809.34195877	-17424956.667939495	47812545025.858444
181.05902777777777	-58765482902.526855	-2549958.9465875146	-411470.64819934894	-11938444.159023363	-11815751.696072193	-21413406.687525235	58765483910.551285
181.0625	-71590462303.16162	-3099708.0089620687	-500180.1559916065	-14512269.314686043	-14381957.167209698	-26083107.31985167	71590462959.0438
181.06597222222223	-104371195220.94727	-4510097.146416582	-727765.6758990393	-21115454.82185944	-20950842.02489605	-38021650.99225601	104371200000.0
181.06944444444446	-100693961334.22852	-4343166.495981594	-700829.1391243024	-20333915.86755018	-20197877.35506304	-36677826.61743071	100693961412.60223
181.07291666666666	-104371195220.94727	-4494062.020209766	-725178.1896247574	-21040381.27643662	-20921249.928350743	-38013196.107528776	104371200000.0
181.07638888888889	-104371195220.94727	-4486922.469899663	-724026.1258247183	-21006955.199984778	-20908074.212778464	-38009431.61736527	104371200000.0
181.07986111111111	-104371195220.94727	-4480347.085478558	-722965.09788404	-20976170.44564961	-20895939.639710423	-38005964.596488684	104371200000.0
181.08333333333334	-104371195220.94727	-4466578.093692706	-720743.2833004138	-20911706.529561296	-20849125.4277964	-37938287.90456353	104371200000.0
181.08680555555554	-104371195220.94727	-4453952.959515989	-718706.0457400797	-20852597.946824845	-20806200.301833365	-37876233.44702008	104371200000.0
181.09027777777777	-104371195220.94727	-4442383.104253757	-716839.0918227651	-20798429.988097124	-20766863.096576467	-37819365.84608177	104371200000.0
181.09375	-104371195220.94727	-4431788.556410451	-715129.5170571407	-20748828.241376195	-20730841.911032632	-37767292.02966666	104371200000.0
181.09722222222223	-104371195220.94727	-4422106.758420105	-713567.2269268804	-20703499.8235123	-20697924.051113907	-37719704.51780923	104371200000.0
181.10069444444446	-104371195220.94727	-4413265.125065145	-712140.5088173301	-20662104.90371408	-20667862.728979163	-37676246.54310888	104371200000.0
181.10416666666666	-104371195220.94727	-4405190.961069244	-710837.6323543551	-20624303.13591508	-20640410.782590397	-37636560.79720952	104371200000.0
181.10763888888889	-104371195220.94727	-4397821.531895191	-709648.4744649056	-20589800.808418386	-20615354.91616204	-37600338.930305	104371200000.0
