,region,date,date_of_forecast,ensembles
0,ES,2024-09-01 00:00:00,2024-09-01 12:00:00,"[1.3254631e-03 0.0000000e+00 5.4571303e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 1.3583333e-03 7.0878705e-03 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 2.6249996e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.5277781e-05
 4.4444442e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.2072657e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]"
1,GE,2024-09-01 00:00:00,2024-09-01 12:00:00,"[0.00000000e+00 0.00000000e+00 1.49791653e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.29259241e-03
 3.33333318e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.29629625e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.62013881e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
2,RZ1,2024-09-01 00:00:00,2024-09-01 12:00:00,"[0.00269896 0.         0.00194792 0.         0.         0.
 0.         0.00056944 0.01325937 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01064792
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
3,RZ2,2024-09-01 00:00:00,2024-09-01 12:00:00,"[0.00212951 0.         0.01559355 0.         0.         0.
 0.         0.00185417 0.01382674 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00083333
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
4,ES,2024-09-01 00:00:00,2024-09-01 18:00:00,"[9.9666668e-03 0.0000000e+00 6.0714889e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 5.9925928e-04 3.1325927e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 6.3841266e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 6.1137034e-03 5.9631481e-03 0.0000000e+00 3.9762962e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.4074072e-05 1.1648267e-02
 0.0000000e+00 5.0827642e-03 0.0000000e+00 0.0000000e+00 1.0317460e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.3417490e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 3.7037034e-04 0.0000000e+00 0.0000000e+00 1.1215741e-02 0.0000000e+00
 1.1111111e-05 0.0000000e+00 0.0000000e+00 1.4125544e-01 0.0000000e+00]"
5,GE,2024-09-01 00:00:00,2024-09-01 18:00:00,"[6.6851848e-03 0.0000000e+00 1.2413462e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 5.2037034e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.4814815e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.1111111e-03 4.1666665e-04 0.0000000e+00 1.8518517e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5111108e-03
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5793651e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5646759e-02
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7407407e-03 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1222684e-02 0.0000000e+00]"
6,RZ1,2024-09-01 00:00:00,2024-09-01 18:00:00,"[2.5986111e-02 0.0000000e+00 5.9864581e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.2472222e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.7472222e-03 1.4283332e-02 0.0000000e+00 3.1388889e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5070435e-03
 0.0000000e+00 1.0023810e-03 0.0000000e+00 0.0000000e+00 3.8690475e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.1896104e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.0141765e-02 0.0000000e+00]"
7,RZ2,2024-09-01 00:00:00,2024-09-01 18:00:00,"[2.4333334e-02 0.0000000e+00 9.8958332e-03 0.0000000e+00 0.0000000e+00
 0.0000000e+00 9.5854163e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 3.7874999e-03 1.6804513e-02 0.0000000e+00 6.7103177e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.3416667e-03
 0.0000000e+00 1.0714285e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.1991596e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.2064682e-02 0.0000000e+00]"
8,ES,2024-09-01 00:00:00,2024-09-02 00:00:00,"[5.4486886e-02 3.4875742e-03 1.1811481e-02 1.0273981e-02 4.2417776e-03
 8.9682513e-01 8.8888884e-04 3.4814812e-03 1.1851852e-03 2.9951851e-03
 1.4400476e-01 4.3452963e-02 7.3518516e-03 1.3629630e-03 2.7379629e-03
 6.4435448e-03 5.0529098e-04 4.2027775e-02 1.1833080e-02 6.2962961e-03
 6.1111111e-04 8.8888884e-04 1.2592593e-03 4.8888889e-03 2.4444445e-03
 1.4803598e-03 6.3733328e-03 1.4811640e-02 1.3385925e-02 5.8971863e+00
 2.9309139e-01 1.9295057e+00 3.0304629e-03 8.2939683e-04 3.7251851e-03
 2.9629629e-04 1.0087406e-02 1.7058518e-03 5.3367729e-04 1.2355555e-02
 7.9492591e-03 2.9566139e-03 7.9255551e-03 9.9008884e-03 3.7957832e-01
 1.5555556e-03 7.4074072e-05 5.8603701e-03 1.2592592e-03 7.6437043e-03]"
9,GE,2024-09-01 00:00:00,2024-09-02 00:00:00,"[5.40370354e-03 3.41851846e-04 1.56263879e-03 1.42796300e-02
 0.00000000e+00 2.10277781e-01 0.00000000e+00 1.29629625e-03
 2.80185160e-03 7.58333306e-04 1.66666659e-03 5.75740682e-03
 5.55555511e-04 7.40740739e-04 1.13472214e-03 2.00529103e-04
 2.25833314e-03 0.00000000e+00 1.10385185e-02 0.00000000e+00
 1.25694438e-03 0.00000000e+00 1.48148148e-03 0.00000000e+00
 3.70370370e-04 5.55555511e-04 0.00000000e+00 5.55555511e-04
 1.06092589e-02 2.31677222e+00 9.42981467e-02 6.72840655e-01
 2.20578699e-03 0.00000000e+00 1.04370369e-02 0.00000000e+00
 1.66666659e-03 8.33333295e-04 0.00000000e+00 9.28703696e-03
 1.55861108e-02 1.07407412e-02 3.33333318e-03 3.53611098e-03
 2.84244895e-01 0.00000000e+00 0.00000000e+00 2.43518502e-03
 2.22222204e-03 0.00000000e+00]"
