timestamp,ES,GE,RZ1,RZ2
2022-01-01,0.328,0.504,0.432,0.359
2022-01-02,8.803,3.831,3.99,4.431
2022-01-03,2.589,1.7670000000000001,1.232,1.532
2022-01-04,10.225,4.394,6.5120000000000005,9.224
2022-01-05,2.907,3.7859999999999996,2.617,2.818
2022-01-06,0.199,0.193,0.213,0.23399999999999999
2022-01-07,3.53,5.159,3.181,3.604
2022-01-08,6.86,5.082,6.504,8.087
2022-01-09,9.307,9.511,9.785,9.759
2022-01-10,0.008,0.0,0.012,0.021
2022-01-11,0.162,0.14300000000000002,0.185,0.20099999999999998
2022-01-12,0.0,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0
2022-01-15,0.007,0.007,0.006,0.009000000000000001
2022-01-16,0.269,0.28900000000000003,0.254,0.241
2022-01-17,0.0,0.0,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0
2022-01-19,11.229,13.969000000000001,12.841999999999999,13.953999999999999
2022-01-20,1.721,0.003,1.128,3.712
2022-01-21,1.202,1.188,1.334,1.248
2022-01-22,0.274,0.361,0.304,0.242
2022-01-23,0.0,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0
2022-01-26,0.002,0.0,0.002,0.002
2022-01-27,1.293,1.498,1.2650000000000001,0.9169999999999999
2022-01-28,0.47500000000000003,0.47300000000000003,0.356,0.432
2022-01-29,1.081,0.811,0.9440000000000001,1.223
2022-01-30,0.144,0.17099999999999999,0.16899999999999998,0.14500000000000002
2022-01-31,11.628,14.318,11.209,9.574
2022-02-01,3.239,2.775,3.092,2.741
2022-02-02,1.272,1.393,1.137,1.216
2022-02-03,1.5010000000000001,1.3659999999999999,1.373,1.6079999999999999
2022-02-04,3.947,4.785,4.206,5.982
2022-02-05,1.054,1.3050000000000002,1.248,0.989
2022-02-06,0.0,0.0,0.0,0.0
2022-02-07,2.055,2.3609999999999998,1.6229999999999998,1.6239999999999999
2022-02-08,0.0,0.0,0.0,0.0
2022-02-09,0.173,0.192,0.189,0.139
2022-02-10,4.076,3.483,3.786,3.891
2022-02-11,0.0,0.046,0.0,0.0
2022-02-12,0.0,0.0,0.0,0.0
2022-02-13,0.126,0.127,0.166,0.179
2022-02-14,1.697,3.047,2.739,3.311
2022-02-15,5.909,5.43,5.3709999999999996,5.955
2022-02-16,9.225,8.937,8.633,9.881
2022-02-17,1.647,2.44,1.536,1.726
2022-02-18,4.654,3.624,5.6339999999999995,6.568
2022-02-19,11.76,13.862,12.395999999999999,7.646
2022-02-20,20.808,20.468,25.193,26.3
2022-02-21,11.022,7.758,11.174,14.706000000000001
2022-02-22,3.961,4.401,3.797,3.498
2022-02-23,0.046,0.065,0.045,0.059000000000000004
2022-02-24,7.188000000000001,5.24,6.298,8.267
2022-02-25,1.428,1.421,2.221,0.73
2022-02-26,0.0,0.0,0.0,0.0
2022-02-27,0.0,0.0,0.0,0.002
2022-02-28,0.0,0.0,0.0,0.0
2022-03-01,0.975,0.802,0.862,0.977
2022-03-02,0.0,0.0,0.0,0.0
2022-03-03,0.044,0.067,0.05,0.049999999999999996
2022-03-04,0.0,0.0,0.0,0.0
2022-03-05,0.0,0.0,0.0,0.0
2022-03-06,0.0,0.0,0.0,0.0
2022-03-07,0.0,0.0,0.0,0.0
2022-03-08,0.0,0.0,0.0,0.0
2022-03-09,0.0,0.0,0.0,0.0
2022-03-10,0.0,0.0,0.0,0.0
2022-03-11,0.061,0.024,0.031,0.074
2022-03-12,0.8170000000000001,0.55,0.725,1.04
2022-03-13,1.2530000000000001,0.919,1.106,1.127
2022-03-14,0.461,0.401,0.64,0.638
2022-03-15,0.952,0.739,0.79,0.84
2022-03-16,0.389,0.374,0.404,0.479
2022-03-17,0.0,0.0,0.0,0.0
2022-03-18,0.081,0.083,0.059,0.098
2022-03-19,0.0,0.0,0.0,0.0
2022-03-20,1.186,0.989,1.396,1.205
2022-03-21,0.013000000000000001,0.022,0.005,0.0
2022-03-22,0.009,0.0,0.0,0.0
2022-03-23,0.0,0.0,0.0,0.0
2022-03-24,0.0,0.0,0.0,0.0
2022-03-25,0.0,0.0,0.0,0.0
2022-03-26,0.0,0.0,0.0,0.0
2022-03-27,0.0,0.0,0.0,0.0
2022-03-28,0.096,0.099,0.093,0.099
2022-03-29,0.673,0.36,0.387,0.507
2022-03-30,1.11,0.432,0.687,0.866
2022-03-31,4.963,10.189,4.858,3.484
2022-04-01,2.665,1.988,2.963,2.375
2022-04-02,3.916,2.7760000000000002,2.766,2.878
2022-04-03,0.784,0.528,0.822,1.018
2022-04-04,8.096,8.102,8.257,9.796
2022-04-05,9.567,7.2459999999999996,8.515,10.495000000000001
2022-04-06,3.418,2.553,3.9690000000000003,3.842
2022-04-07,11.716,6.295,8.851,14.254
2022-04-08,1.527,0.902,0.975,1.25
2022-04-09,0.506,0.277,0.435,0.422
2022-04-10,0.295,0.097,0.113,0.291
2022-04-11,0.27,0.292,0.264,0.262
2022-04-12,0.183,0.17200000000000001,0.181,0.189
