#.t	.in_39
#d	mm
0.0000000	0.0208700
0.0416667	1.1278300
0.0833333	1.3004400
0.1250000	0.0813000
0.1666667	0.0595700
0.2083333	0.3026000
0.2500000	0.2034700
0.2916667	0.0491300
0.3333333	0.8130500
0.3750000	0.3930500
0.4166667	0.2173800
0.4583333	0.0000000
0.5000000	0.0000000
0.5416667	0.0052200
0.5833333	0.0026100
0.6250000	0.0000000
0.6666667	0.0000000
0.7083333	0.0000000
0.7500000	0.0017400
0.7916667	0.0273900
0.8333333	0.0104400
0.8750000	0.1595700
0.9166667	0.3004400
0.9583333	1.4695600
1.0000000	1.7669600
1.0416667	3.1243300
1.0833333	3.9239200
1.1250000	0.1691400
1.1666667	0.0000000
1.2083333	0.0000000
1.2500000	0.0000000
1.2916667	0.0000000
1.3333333	0.0000000
1.3750000	0.0021700
1.4166667	0.5969400
1.4583333	1.7204500
1.5000000	2.2543400
1.5416667	1.1847900
1.5833333	1.4843500
1.6250000	1.9247900
1.6666667	0.2969600
1.7083333	0.0000000
1.7500000	0.0278300
1.7916667	0.0000000
1.8333333	0.0000000
1.8750000	0.0365200
1.9166667	0.0000000
1.9583333	0.0000000
2.0000000	0.0000000
2.0416667	0.0000000
2.0833333	0.0000000
2.1250000	0.0491300
2.1666667	0.0039100
2.2083333	1.5808700
2.2500000	4.7052100
2.2916667	0.6334700
2.3333333	0.0726100
2.3750000	0.0013000
2.4166667	0.2230400
2.4583333	2.9765300
2.5000000	0.5878200
2.5416667	0.3608700
2.5833333	0.0000000
2.6250000	1.4387000
2.6666667	0.2156500
2.7083333	0.0000000
2.7500000	0.7178100
2.7916667	0.8691200
2.8333333	2.4261100
2.8750000	1.4813000
2.9166667	0.0000000
2.9583333	0.0034800
3.0000000	0.0039100
3.0416667	0.0426000
3.0833333	0.5217400
3.1250000	0.0900000
3.1666667	0.1543500
3.2083333	0.1969500
3.2500000	0.0039100
3.2916667	0.3704400
3.3333333	2.1639200
3.3750000	1.2191300
3.4166667	0.5104300
3.4583333	0.4974000
3.5000000	0.0017400
3.5416667	0.0000000
3.5833333	0.0000000
3.6250000	0.0000000
3.6666667	0.0000000
3.7083333	0.0000000
3.7500000	0.0882600
3.7916667	0.0395600
3.8333333	0.9708800
3.8750000	1.1326100
3.9166667	0.5369600
3.9583333	0.0000000
4.0000000	0.0000000
4.0416667	0.0000000
4.0833333	0.0000000
4.1250000	0.0000000
4.1666667	0.0069600
4.2083333	0.0000000
4.2500000	0.0113000
4.2916667	0.1713100
4.3333333	0.2278300
4.3750000	0.4287100
4.4166667	0.2043500
4.4583333	0.7026100
4.5000000	1.5356600
4.5416667	0.0043500
4.5833333	0.0000000
4.6250000	0.0000000
4.6666667	0.0000000
4.7083333	0.0000000
4.7500000	0.0000000
4.7916667	0.0408700
4.8333333	0.0017400
4.8750000	0.0052200
4.9166667	0.0256500
4.9583333	0.0247800
5.0000000	0.0000000
5.0416667	0.0000000
5.0833333	0.0000000
5.1250000	0.0000000
5.1666667	0.0000000
5.2083333	0.0000000
5.2500000	0.0000000
5.2916667	0.0000000
5.3333333	0.0000000
5.3750000	0.0000000
5.4166667	0.0000000
5.4583333	0.0000000
5.5000000	0.0000000
5.5416667	0.0000000
5.5833333	0.0000000
5.6250000	0.0000000
5.6666667	0.0000000
5.7083333	0.0000000
5.7500000	0.0000000
5.7916667	0.0000000
5.8333333	0.0000000
5.8750000	0.0000000
5.9166667	0.0000000
5.9583333	0.0000000
6.0000000	0.0000000
6.0416667	0.0000000
6.0833333	0.0000000
6.1250000	0.0000000
6.1666667	0.0000000
6.2083333	0.0000000
6.2500000	0.0000000
6.2916667	0.0000000
6.3333333	0.0000000
6.3750000	0.0000000
6.4166667	0.0000000
6.4583333	0.0000000
6.5000000	0.0000000
6.5416667	0.0000000
6.5833333	0.0000000
6.6250000	0.0000000
6.6666667	0.0000000
6.7083333	0.0000000
6.7500000	0.0000000
6.7916667	0.0000000
6.8333333	0.0000000
6.8750000	0.0000000
6.9166667	0.0000000
6.9583333	0.0000000
7.0000000	0.0000000
7.0416667	0.0000000
7.0833333	0.0000000
7.1250000	0.0000000
7.1666667	0.0000000
7.2083333	0.0000000
7.2500000	0.0000000
7.2916667	0.0000000
7.3333333	0.0000000
7.3750000	0.0000000
7.4166667	0.0000000
7.4583333	0.0000000
7.5000000	0.0000000
7.5416667	0.0000000
7.5833333	0.0000000
7.6250000	0.0000000
7.6666667	0.0000000
7.7083333	0.0000000
7.7500000	0.0000000
7.7916667	0.0000000
7.8333333	0.0000000
7.8750000	0.0000000
7.9166667	0.0000000
7.9583333	0.0000000
8.0000000	0.0000000
8.0416667	0.0000000
8.0833333	0.0000000
8.1250000	0.0000000
8.1666667	0.0000000
8.2083333	0.0000000
8.2500000	0.0000000
8.2916667	0.0000000
8.3333333	0.0000000
8.3750000	0.0000000
8.4166667	0.0000000
8.4583333	0.0000000
8.5000000	0.0000000
8.5416667	0.0000000
8.5833333	0.0000000
8.6250000	0.0000000
8.6666667	0.0000000
8.7083333	0.0000000
8.7500000	0.0000000
8.7916667	0.0000000
8.8333333	0.0000000
8.8750000	0.0000000
8.9166667	0.0000000
8.9583333	0.0000000
9.0000000	0.0000000
9.0416667	0.0000000
9.0833333	0.0000000
9.1250000	0.0000000
9.1666667	0.0000000
9.2083333	0.0000000
9.2500000	0.0000000
9.2916667	0.0000000
9.3333333	0.0000000
9.3750000	0.0000000
9.4166667	0.0000000
9.4583333	0.0000000
9.5000000	0.0000000
9.5416667	0.0000000
9.5833333	0.0000000
9.6250000	0.0000000
9.6666667	0.0000000
9.7083333	0.0000000
9.7500000	0.0000000
9.7916667	0.0000000
9.8333333	0.0000000
9.8750000	0.0000000
9.9166667	0.0000000
9.9583333	0.0000000
10.0000000	0.0000000
10.0416667	0.0000000
10.0833333	0.0000000
10.1250000	0.0000000
10.1666667	0.0000000
10.2083333	0.0000000
10.2500000	0.0000000
10.2916667	0.0000000
10.3333333	0.0000000
10.3750000	0.0000000
10.4166667	0.0000000
10.4583333	0.0000000
10.5000000	0.0000000
10.5416667	0.0000000
10.5833333	0.0000000
10.6250000	0.0000000
10.6666667	0.0000000
10.7083333	0.0000000
10.7500000	0.0000000
10.7916667	0.0000000
10.8333333	0.0000000
10.8750000	0.0000000
10.9166667	0.0000000
10.9583333	0.0000000
11.0000000	0.0000000
11.0416667	0.0000000
11.0833333	0.0000000
