,dwf_only_jul,constant_jul,dwf_rain_jul,dwf_only_ext,constant_ext,dwf_rain_ext,base_jul,rtc_jul,base_ext,rtc_ext,dif_jul_dwf,dif_ext_dwf,dif_jul_rtc,dif_ext_rtc
.WWTP2river.Outflow(rBOD1),"698,0182061300001","678,96693208","4804,30466244","4182,88047146","4104,680443359999","14551,00207648","4749,90774416","3925,4100683299994","14539,299224609997","13489,19818602","-2,729337699603196","-1,869525764208746","-17,358182942473334","-7,2225010460788885"
.WWTP2river.Outflow(rBOD1p),"77,55757842999999","75,440770199","533,811628511","464,76449677700003","456,075604716","1616,7780080920002","527,767527809","436,156673924","1615,477691769","1498,7997979390002","-2,729337704774437","-1,8695257751516814","-17,358183112424086","-7,22250108586977"
.WWTP2river.Outflow(rBOD2),"2165,0733688500004","2141,45654225","6551,40913504","12655,895813680001","12502,47116655","26320,9174077","6550,35058924","6116,91781695","26248,75180907","25421,67329439","-1,0908095282029517","-1,2122780511843456","-6,616940061223331","-3,150925120920267"
.WWTP2river.Outflow(rBOD2p),"927,88858686","917,76708969","2807,74677408","5423,95534908","5358,201928179999","11280,393177549999","2807,29310817","2621,5362116200004","11249,46506091","10895,0028406","-1,0908095339604795","-1,212278064035932","-6,616939856026982","-3,150925118579173"
.WWTP2river.Outflow(rBODs),"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,
.WWTP2river.Outflow(rH2O),"3513393233,96","3510436502,68","5319744181,99","20291620903,96","20261375893,69","26923777607,37","5314881786,0","5273950241,39","26921142050,78","26826831033,29","-0,0841560019931964","-0,1490517214625231","-0,7701308563027309","-0,35032324153300154"
.WWTP2river.Outflow(rNH4),"4459,01477332","4860,7580548","11575,49302764","26982,267168961","28398,500695900002","50474,694736662","11555,89906629","11784,2126621","50552,82808009801","50926,536586099995","9,009687159678958","5,248756592878756","1,9757320006023704","0,7392435204809367"
.WWTP2river.Outflow(rO2),"15371,6735116","15477,2953093","18171,6448034","91863,1016049","92347,31609580001","104103,24098139998","18145,4360018","18077,3791414","104216,67827489998","104490,9405355","0,6871197050880129","0,527104443939419","-0,3750632412097943","0,2631654214468204"
.effluent.Outflow(H2O),"3513393233,96","3510436502,68","5319744181,99","20291620903,96","20261375893,69","26923777607,37","5314881786,0","5273950241,39","26921142050,78","26826831033,29","-0,0841560019931964","-0,1490517214625231","-0,7701308563027309","-0,35032324153300154"
.effluent.Outflow(S_ALK),"98522,546497","98524,654617","151280,239262","568279,7371730001","567875,268226","760783,789928","151135,89667500003","150044,130328","760743,367719","758339,38165","0,0021397335685513497","-0,07117426868186172","-0,7223739502123294","-0,316004867214037"
.effluent.Outflow(S_Al),"2472,08371154","2591,4107316100003","3820,99545809","19612,90739627","20459,52624155","22090,293359310002","3767,1972743999995","3250,52265532","22195,83485924","21765,499621860003","4,8269813644646","4,316641220877893","-13,715093249590705","-1,9388107728727788"
.effluent.Outflow(S_F),"639,63584236","619,90992365","3995,34719586","3903,72105266","3821,9825034699998","12541,268241810001","3950,2509232199995","3294,5375845999997","12527,672096459999","11665,620372340001","-3,083929542975461","-2,0938624478381684","-16,599283219343008","-6,881180457809011"
.effluent.Outflow(S_I),"97748,92101499999","97230,64651600001","111522,828255","564769,810412","561526,517563","621278,895455","111498,096692","111475,523435","620954,673231","621273,9415669999","-0,5302099436171215","-0,5742680981184356","-0,020245419132458586","0,05141572320226384"
.effluent.Outflow(S_N2),"142109,217435","141301,36403","151559,68130599998","803957,087416","799624,1301490001","848422,071413","151673,57","151924,231489","847780,6143949999","849417,383288","-0,5684736145771141","-0,5389537992539384","0,16526378920203033","0,19306514742238878"
.effluent.Outflow(S_NH),"4459,01477332","4860,7580548","11575,49302764","26982,267168961","28398,500695900002","50474,694736662","11555,89906629","11784,2126621","50552,82808009801","50926,536586099995","9,009687159678958","5,248756592878756","1,9757320006023704","0,7392435204809367"
.effluent.Outflow(S_NO),"8415,383875399999","8299,872561099999","12952,92537995","55058,3845316","54339,4035813","74400,27813535","12924,99885723","12425,949770399999","74433,1907639","73532,64702225999","-1,3726208573522691","-1,3058518814465958","-3,8611151331038096","-1,209868517522661"
.effluent.Outflow(S_O),"15371,6735116","15477,2953093","18171,6448034","91863,1016049","92347,31609580001","104103,24098139998","18145,4360018","18077,3791414","104216,67827489998","104490,9405355","0,6871197050880129","0,527104443939419","-0,3750632412097943","0,2631654214468204"
.effluent.Outflow(S_PO),"608,43042867","612,80634114","1109,3302544","4083,141226997","4115,11527398","5985,435150137","1110,74491395","1081,67767583","6084,781489891","6240,158927863","0,7192132845107002","0,7830747261836857","-2,6169139065991165","2,5535417866711763"
.effluent.Outflow(X_AUT),"611,715927851","605,62220455","1285,880630403","3565,8562140530003","3525,05913485","5788,533255053","1289,4971424829998","1221,9525569000002","5765,62658079","5587,062360583","-0,996168813587639","-1,1441033163989922","-5,238056243609712","-3,097047956625276"
.effluent.Outflow(X_H),"5785,56167867","5756,2762346","16050,796843109998","33302,26074204","32886,8412555","67960,6141003","16125,43844846","15818,1344632","68324,66939316","67674,93274548001","-0,5061815204212339","-1,2474212779662208","-1,9057093315149376","-0,9509546895005383"
.effluent.Outflow(X_I),"10549,0763582","10328,3611447","31921,5361247","60522,1380075","59241,282601800005","127981,25879780001","31898,662285799994","29809,1143763","127440,53036140001","122993,8749991","-2,0922705079144954","-2,116341966540025","-6,550581622446838","-3,489200295769368"
.effluent.Outflow(X_I_i),"1200,62893826","1223,11044843","1735,42389038","6298,284483278999","6301,667148961","8692,877371366","1799,21201166","1876,1688732999999","9004,752270975","9304,355352938","1,8724777867324294","0,05370773090642711","4,277253661117886","3,3271662889462483"
