,total_inflow
2024-09-01 00:05:00,1.6149091663919535e-07
2024-09-01 00:10:00,2.0494840669016412e-07
2024-09-01 00:15:00,2.0866012562237302e-07
2024-09-01 00:20:00,2.1015773654653458e-07
2024-09-01 00:25:00,2.1148223083855555e-07
2024-09-01 00:30:00,2.1707418795813282e-07
2024-09-01 00:35:00,2.2307114022623864e-07
2024-09-01 00:40:00,2.291360914341567e-07
2024-09-01 00:45:00,2.3526658310402127e-07
2024-09-01 00:50:00,2.414624589164305e-07
2024-09-01 00:55:00,2.477235909736919e-07
2024-09-01 01:00:00,2.540497803238395e-07
2024-09-01 01:05:00,2.6044088485832617e-07
2024-09-01 01:10:00,2.6689679089031415e-07
2024-09-01 01:15:00,2.7341732788954687e-07
2024-09-01 01:20:00,2.8000241059089603e-07
2024-09-01 01:25:00,2.8665186846410506e-07
2024-09-01 01:30:00,2.9336558782233624e-07
2024-09-01 01:35:00,3.0014348340046126e-07
2024-09-01 01:40:00,3.0698538466822356e-07
2024-09-01 01:45:00,3.138912632039137e-07
2024-09-01 01:50:00,3.208609484772751e-07
2024-09-01 01:55:00,3.278943836448889e-07
2024-09-01 02:00:00,3.3499148344162677e-07
2024-09-01 02:05:00,3.4215213418065105e-07
2024-09-01 02:10:00,3.493762505968334e-07
2024-09-01 02:15:00,3.56663775846755e-07
2024-09-01 02:20:00,3.6401462466528756e-07
2024-09-01 02:25:00,3.7142871178730275e-07
2024-09-01 02:30:00,3.789059803693817e-07
2024-09-01 02:35:00,3.864463451463962e-07
2024-09-01 02:40:00,3.9404977769663674e-07
2024-09-01 02:45:00,4.017162211766845e-07
2024-09-01 02:50:00,4.094455618997017e-07
2024-09-01 02:55:00,4.1723782828739786e-07
2024-09-01 03:00:00,4.250929066529352e-07
2024-09-01 03:05:00,4.330107685746043e-07
2024-09-01 03:10:00,4.409913572089863e-07
2024-09-01 03:15:00,4.490346725560812e-07
2024-09-01 03:20:00,4.571406293507607e-07
2024-09-01 03:25:00,4.653091991713154e-07
2024-09-01 03:30:00,4.735403820177453e-07
2024-09-01 03:35:00,4.81834092624922e-07
2024-09-01 03:40:00,4.901903594145551e-07
2024-09-01 03:45:00,4.986090971215162e-07
2024-09-01 03:50:00,5.070903057458054e-07
2024-09-01 03:55:00,5.156339852874225e-07
2024-09-01 04:00:00,5.242400789029489e-07
2024-09-01 04:05:00,5.329085865923844e-07
2024-09-01 04:10:00,5.41639508355729e-07
2024-09-01 04:15:00,5.504327305061452e-07
2024-09-01 04:20:00,5.592883667304704e-07
2024-09-01 04:25:00,5.68206360185286e-07
2024-09-01 04:30:00,5.771866540271731e-07
2024-09-01 04:35:00,5.862293050995504e-07
2024-09-01 04:40:00,5.953342565589992e-07
2024-09-01 04:45:00,6.045015084055194e-07
2024-09-01 04:50:00,6.137310606391111e-07
2024-09-01 04:55:00,6.230229701031931e-07
2024-09-01 05:00:00,6.323771231109276e-07
2024-09-01 05:05:00,6.417936333491525e-07
2024-09-01 05:10:00,6.512724439744488e-07
2024-09-01 05:15:00,6.608135549868166e-07
2024-09-01 05:20:00,6.704169663862558e-07
2024-09-01 05:25:00,6.800827350161853e-07
2024-09-01 05:30:00,6.898108040331863e-07
2024-09-01 05:35:00,6.996012302806776e-07
2024-09-01 05:40:00,7.094539569152403e-07
2024-09-01 05:45:00,7.193690976237122e-07
2024-09-01 05:50:00,7.293465387192555e-07
2024-09-01 05:55:00,7.39386393888708e-07
2024-09-01 06:00:00,7.494886062886508e-07
2024-09-01 06:05:00,7.596532896059216e-07
2024-09-01 06:10:00,7.698803301536827e-07
2024-09-01 06:15:00,7.801698416187719e-07
2024-09-01 06:20:00,7.905218240011891e-07
2024-09-01 06:25:00,8.009362773009343e-07
2024-09-01 06:30:00,8.114132015180076e-07
2024-09-01 06:35:00,8.219526534958277e-07
2024-09-01 06:40:00,8.325546332343947e-07
2024-09-01 06:45:00,8.432191407337086e-07
2024-09-01 06:50:00,8.539462896806072e-07
2024-09-01 06:55:00,8.647360232316714e-07
2024-09-01 07:00:00,8.755883982303203e-07
2024-09-01 07:05:00,8.865034146765538e-07
2024-09-01 07:10:00,8.974811294137908e-07
2024-09-01 07:15:00,9.085215424420312e-07
2024-09-01 07:20:00,9.19624710604694e-07
2024-09-01 07:25:00,9.307906339017791e-07
2024-09-01 07:30:00,9.420193123332865e-07
2024-09-01 07:35:00,9.53310859586054e-07
2024-09-01 07:40:00,9.646653325035004e-07
2024-09-01 07:45:00,9.760825605553691e-07
2024-09-01 07:50:00,9.875627711153356e-07
2024-09-01 07:55:00,9.991059641834e-07
2024-09-01 08:00:00,1.010712139759562e-06
2024-09-01 08:05:00,1.0223814115306595e-06
2024-09-01 08:10:00,1.0341136658098549e-06
2024-09-01 08:15:00,1.0459090162839857e-06
2024-09-01 08:20:00,1.057767462953052e-06
2024-09-01 08:25:00,1.0696891195038916e-06
2024-09-01 08:30:00,1.0816739859365043e-06
2024-09-01 08:35:00,1.0937220622508903e-06
2024-09-01 08:40:00,1.1058333484470495e-06
2024-09-01 08:45:00,1.1180080718986574e-06
2024-09-01 08:50:00,1.1302461189188762e-06
2024-09-01 08:55:00,1.1425476031945436e-06
2024-09-01 09:00:00,1.1549125247256598e-06
2024-09-01 09:05:00,1.1673408835122245e-06
2024-09-01 09:10:00,1.1798327932410757e-06
2024-09-01 09:15:00,1.1923882539122133e-06
2024-09-01 09:20:00,1.2050072655256372e-06
2024-09-01 09:25:00,1.2176899417681852e-06
2024-09-01 09:30:00,1.230436396326695e-06
2024-09-01 09:35:00,1.243246515514329e-06
2024-09-01 09:40:00,1.2561205267047626e-06
2024-09-01 09:45:00,1.2690582025243202e-06
2024-09-01 09:50:00,1.2820598840335151e-06
2024-09-01 09:55:00,1.2951254575455096e-06
2024-09-01 10:00:00,1.3082549230603036e-06
2024-09-01 10:05:00,1.3214483942647348e-06
2024-09-01 10:10:00,1.334705984845641e-06
2024-09-01 10:15:00,1.3480276948030223e-06
2024-09-01 10:20:00,1.3614135241368786e-06
2024-09-01 10:25:00,1.3748635865340475e-06
2024-09-01 10:30:00,1.3883778819945292e-06
2024-09-01 10:35:00,1.4019564105183235e-06
2024-09-01 10:40:00,1.415599399479106e-06
2024-09-01 10:45:00,1.4293066215032013e-06
2024-09-01 10:50:00,1.4430784176511224e-06
2024-09-01 10:55:00,1.4569146742360317e-06
2024-09-01 11:00:00,1.4708155049447669e-06
2024-09-01 11:05:00,1.484780909777328e-06
2024-09-01 11:10:00,1.4988110024205525e-06
2024-09-01 11:15:00,1.5129057828744408e-06
2024-09-01 11:20:00,1.5270652511389926e-06
