#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part
#d	m3/d	m3/d	m3/d	m3/d	m3/d	m3/d
182.00347222222223	0.0	0	0	0	0	0
182.00694444444446	110.01977138221264	0	0	0	0	0
182.01041666666666	164.78352583944798	0	0	0	0	0
182.01388888888889	219.39370036125183	0	0	0	0	0
182.01736111111111	273.8507576286793	0	0	0	0	0
182.02083333333334	328.15511003136635	0	0	0	0	0
182.02430555555554	382.3071599006653	0	0	0	0	0
182.02777777777777	436.30739003419876	0	0	0	0	0
182.03125	490.1560217142105	0	0	0	0	0
182.03472222222223	543.8538193702698	0	0	0	0	0
182.03819444444446	597.4010244011879	0	0	0	0	0
182.04166666666666	650.7980793714523	0	0	0	0	0
182.04513888888889	704.0454268455505	0	0	0	0	0
182.04861111111111	757.1433484554291	0	0	0	0	0
182.05208333333334	810.0924879312515	0	0	0	0	0
182.05555555555554	862.8930866718292	0	0	0	0	0
182.05902777777777	915.5457079410553	0	0	0	0	0
182.0625	968.0506736040115	0	0	0	0	0
182.06597222222223	1020.4083055257797	0	0	0	0	0
182.06944444444446	1072.6192474365234	0	0	0	0	0
182.07291666666666	1124.6836602687836	0	0	0	0	0
182.07638888888889	1176.6021877527237	0	0	0	0	0
182.07986111111111	1228.3750712871552	0	0	0	0	0
182.08333333333334	1280.0027936697006	0	0	0	0	0
182.08680555555554	1331.485676765442	0	0	0	0	0
182.09027777777777	1382.824283838272	0	0	0	0	0
182.09375	1434.0188562870026	0	0	0	0	0
182.09722222222223	1485.069876909256	0	0	0	0	0
182.10069444444446	1535.977828502655	0	0	0	0	0
182.10416666666666	1586.7430329322815	0	0	0	0	0
182.10763888888889	1637.3658120632172	0	0	0	0	0
182.11111111111111	1687.8466486930847	0	0	0	0	0
182.11458333333334	1738.185864686966	0	0	0	0	0
182.11805555555554	1788.3839428424835	0	0	0	0	0
182.12152777777777	1838.4410440921783	0	0	0	0	0
182.125	1888.357812166214	0	0	0	0	0
182.12847222222223	1938.134890794754	0	0	0	0	0
182.13194444444446	2000.7180154323578	0	0	0	0	0
182.13541666666666	2063.2343530654907	0	0	0	0	0
182.13888888888889	2125.5754351615906	0	0	0	0	0
182.14236111111111	2187.74174451828	0	0	0	0	0
182.14583333333334	2249.733603000641	0	0	0	0	0
182.14930555555554	2311.5518152713776	0	0	0	0	0
182.15277777777777	2373.196542263031	0	0	0	0	0
182.15625	2434.6685886383057	0	0	0	0	0
182.15972222222223	2495.9681153297424	0	0	0	0	0
182.16319444444446	2557.095766067505	0	0	0	0	0
182.16666666666666	2618.0520236492157	0	0	0	0	0
182.17013888888889	2678.8373708724976	0	0	0	0	0
182.17361111111111	2778.289818763733	0	0	0	0	0
182.17708333333334	2878.1124114990234	0	0	0	0	0
182.18055555555554	2977.8452038764954	0	0	0	0	0
182.18402777777777	3077.299904823303	0	0	0	0	0
182.1875	3176.4758706092834	0	0	0	0	0
