;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part
2024-07-01 00:05:00;0,0;0;0;0;0;0
2024-07-01 00:10:00;110,01977138221264;0;0;0;0;0
2024-07-01 00:15:00;164,78352583944798;0;0;0;0;0
2024-07-01 00:20:00;219,39370036125183;0;0;0;0;0
2024-07-01 00:25:00;273,8507576286793;0;0;0;0;0
2024-07-01 00:30:00;328,15511003136635;0;0;0;0;0
2024-07-01 00:35:00;382,3071599006653;0;0;0;0;0
2024-07-01 00:40:00;436,30739003419876;0;0;0;0;0
2024-07-01 00:45:00;490,1560217142105;0;0;0;0;0
2024-07-01 00:50:00;543,8538193702698;0;0;0;0;0
2024-07-01 00:55:00;597,4010244011879;0;0;0;0;0
2024-07-01 01:00:00;650,7980793714523;0;0;0;0;0
2024-07-01 01:05:00;704,0454268455505;0;0;0;0;0
2024-07-01 01:10:00;757,1433484554291;0;0;0;0;0
2024-07-01 01:15:00;810,0924879312515;0;0;0;0;0
2024-07-01 01:20:00;862,8930866718292;0;0;0;0;0
2024-07-01 01:25:00;915,5457079410553;0;0;0;0;0
2024-07-01 01:30:00;968,0506736040115;0;0;0;0;0
2024-07-01 01:35:00;1020,4083055257797;0;0;0;0;0
2024-07-01 01:40:00;1072,6192474365234;0;0;0;0;0
2024-07-01 01:45:00;1124,6836602687836;0;0;0;0;0
2024-07-01 01:50:00;1176,6021877527237;0;0;0;0;0
2024-07-01 01:55:00;1228,3750712871552;0;0;0;0;0
2024-07-01 02:00:00;1280,0027936697006;0;0;0;0;0
2024-07-01 02:05:00;1331,485676765442;0;0;0;0;0
2024-07-01 02:10:00;1382,824283838272;0;0;0;0;0
2024-07-01 02:15:00;1434,0188562870026;0;0;0;0;0
2024-07-01 02:20:00;1485,069876909256;0;0;0;0;0
2024-07-01 02:25:00;1535,977828502655;0;0;0;0;0
2024-07-01 02:30:00;1586,7430329322815;0;0;0;0;0
2024-07-01 02:35:00;1637,3658120632172;0;0;0;0;0
2024-07-01 02:40:00;1687,8466486930847;0;0;0;0;0
2024-07-01 02:45:00;1738,185864686966;0;0;0;0;0
2024-07-01 02:50:00;1788,3839428424835;0;0;0;0;0
2024-07-01 02:55:00;1838,4410440921783;0;0;0;0;0
2024-07-01 03:00:00;1888,357812166214;0;0;0;0;0
2024-07-01 03:05:00;1938,134890794754;0;0;0;0;0
2024-07-01 03:10:00;2000,7180154323578;0;0;0;0;0
2024-07-01 03:15:00;2063,2343530654907;0;0;0;0;0
2024-07-01 03:20:00;2125,5754351615906;0;0;0;0;0
2024-07-01 03:25:00;2187,74174451828;0;0;0;0;0
2024-07-01 03:30:00;2249,733603000641;0;0;0;0;0
2024-07-01 03:35:00;2311,5518152713776;0;0;0;0;0
2024-07-01 03:40:00;2373,196542263031;0;0;0;0;0
2024-07-01 03:45:00;2434,6685886383057;0;0;0;0;0
2024-07-01 03:50:00;2495,9681153297424;0;0;0;0;0
2024-07-01 03:55:00;2557,095766067505;0;0;0;0;0
2024-07-01 04:00:00;2618,0520236492157;0;0;0;0;0
2024-07-01 04:05:00;2678,8373708724976;0;0;0;0;0
2024-07-01 04:10:00;2778,289818763733;0;0;0;0;0
2024-07-01 04:15:00;2878,1124114990234;0;0;0;0;0
2024-07-01 04:20:00;2977,8452038764954;0;0;0;0;0
2024-07-01 04:25:00;3077,299904823303;0;0;0;0;0
2024-07-01 04:30:00;3176,4758706092834;0;0;0;0;0
2024-07-01 04:35:00;3275,5057096481323;0;0;0;0;0
2024-07-01 04:40:00;3374,259066581726;0;0;0;0;0
2024-07-01 04:45:00;3472,735297679901;0;0;0;0;0
2024-07-01 04:50:00;3570,9356904029846;0;0;0;0;0
2024-07-01 04:55:00;3668,8605666160583;0;0;0;0;0
2024-07-01 05:00:00;3766,5108919143677;0;0;0;0;0
2024-07-01 05:05:00;3863,887310028076;0;0;0;0;0
2024-07-01 05:10:00;3999,828314781189;0;0;0;0;0
2024-07-01 05:15:00;4136,360263824463;0;0;0;0;0
2024-07-01 05:20:00;4272,8896379470825;0;0;0;0;0
2024-07-01 05:25:00;4409,039211273193;0;0;0;0;0
2024-07-01 05:30:00;4544,807052612305;0;0;0;0;0
2024-07-01 05:35:00;4680,458378791809;0;0;0;0;0
2024-07-01 05:40:00;4815,731191635132;0;0;0;0;0
2024-07-01 05:45:00;4950,624847412109;0;0;0;0;0
2024-07-01 05:50:00;5085,1396679878235;0;0;0;0;0
2024-07-01 05:55:00;5219,277584552765;0;0;0;0;0
